Geo_name,Geo_QName,Geo_AREAL,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_A002_001,SE_T002_001,SE_T002_002,SE_T003_001,SE_T003_002,SE_T063_001,SE_T063_002,SE_T063_003
Adams County,"Adams County, Ohio",585.7857,50,3900010,390,10,26093,585.7856879,26093,0,26093,0,313535,200427,113108
Allen County,"Allen County, Ohio",406.88,50,3900030,390,30,40644,406.8799787,40644,18312,40644,0,233962,178508,55454
Ashland County,"Ashland County, Ohio",426.8443,50,3900050,390,50,22223,426.8442626,22223,3566,22223,0,255128,205130,49998
Ashtabula County,"Ashtabula County, Ohio",709.7655,50,3900070,390,70,43655,709.7655449,43655,11579,43655,0,391572,307192,84380
Athens County,"Athens County, Ohio",508.5371,50,3900090,390,90,35194,508.5371204,35194,7178,35194,0,276175,209123,67052
Auglaize County,"Auglaize County, Ohio",401.7178,50,3900110,390,110,28100,401.7178055,28100,6616,28100,0,232277,169762,62515
Belmont County,"Belmont County, Ohio",541.3875,50,3900130,390,130,57413,541.3875198,57413,22760,57413,0,324863,258892,65971
Brown County,"Brown County, Ohio",495.2166,50,3900150,390,150,29899,495.21664,29899,0,29899,0,294251,236054,58197
Butler County,"Butler County, Ohio",470.2002,50,3900170,390,170,48597,470.2001799,48597,25246,48597,0,278335,233840,44495
Carroll County,"Carroll County, Ohio",399.0058,50,3900190,390,190,17566,399.0057851,17566,0,17566,0,241648,198216,43432
Champaign County,"Champaign County, Ohio",429.7048,50,3900210,390,210,26980,429.7047661,26980,6510,26980,0,251898,210668,41230
Clark County,"Clark County, Ohio",403.7947,50,3900230,390,230,52277,403.7946845,52277,31895,52277,31895,229174,194359,34815
Clermont County,"Clermont County, Ohio",457.6713,50,3900250,390,250,33553,457.6712534,33553,0,33553,0,269025,227606,41419
Clinton County,"Clinton County, Ohio",412.2847,50,3900270,390,270,24240,412.2846827,24240,3079,24240,0,249583,201306,48277
Columbiana County,"Columbiana County, Ohio",535.1811,50,3900290,390,290,59029,535.1811095,59029,24809,59029,0,314753,248737,66016
Coshocton County,"Coshocton County, Ohio",567.5733,50,3900310,390,310,26703,567.5733154,26703,3672,26703,0,338983,268653,70330
Crawford County,"Crawford County, Ohio",402.8284,50,3900330,390,330,31927,402.8284317,31927,15211,31927,0,232260,188410,43850
Cuyahoga County,"Cuyahoga County, Ohio",459.4089,50,3900350,390,350,309970,459.4089174,309970,275464,309970,261353,229838,191265,38573
Darke County,"Darke County, Ohio",600.2858,50,3900370,390,370,42961,600.2857753,42961,6766,42961,0,354100,280826,73274
Defiance County,"Defiance County, Ohio",414.1833,50,3900390,390,390,25769,414.1832822,25769,7694,25769,0,230240,150437,79803
Delaware County,"Delaware County, Ohio",455.9736,50,3900410,390,410,27189,455.9736449,27189,8224,27189,0,273225,226185,47040
Erie County,"Erie County, Ohio",256.5774,50,3900430,390,430,35462,256.5773663,35462,18471,35462,0,136606,122077,14529
Fairfield County,"Fairfield County, Ohio",508.5959,50,3900450,390,450,33939,508.5959272,33939,7555,33939,0,298420,249089,49331
Fayette County,"Fayette County, Ohio",407.0774,50,3900470,390,470,22309,407.0773975,22309,5742,22309,0,241569,213064,28505
