Geo_name,Geo_QName,Geo_AREAL,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_A002_001,SE_T002_001,SE_T002_002,SE_T003_001,SE_T003_002,SE_T073_001,SE_T073_002,SE_T073_003,SE_T073_004,SE_T073_005,SE_T073_006,SE_T073_007,SE_T073_008,SE_T073_009
Adams County,"Adams County, Ohio",585.7857,50,3900010,390,10,24755,585.7856879,24755,0,24755,0,327409,219708,151861,66136,1711,107701,79420,26651,1630
Allen County,"Allen County, Ohio",406.88,50,3900030,390,30,56580,406.8799787,56580,33064,56580,30508,240472,203222,134088,66585,2549,37250,24431,12257,562
Ashland County,"Ashland County, Ohio",426.8443,50,3900050,390,50,22975,426.8442626,22975,6795,22975,0,258525,203110,116755,82948,3407,55415,32264,22221,930
Ashtabula County,"Ashtabula County, Ohio",709.7655,50,3900070,390,70,59547,709.7655449,59547,26585,59547,0,399187,261685,206705,51368,3612,137502,103703,30475,3324
Athens County,"Athens County, Ohio",508.5371,50,3900090,390,90,47798,508.5371204,47798,14072,47798,0,286923,201673,162207,35674,3792,85250,53958,19103,12189
Auglaize County,"Auglaize County, Ohio",401.7178,50,3900110,390,110,31246,401.7178055,31246,11081,31246,0,237509,196995,124542,69780,2673,40514,26199,13735,580
Belmont County,"Belmont County, Ohio",541.3875,50,3900130,390,130,76856,541.3875198,76856,30286,76856,0,318728,254513,184022,67700,2791,64215,44329,18749,1137
Brown County,"Brown County, Ohio",495.2166,50,3900150,390,150,24832,495.21664,24832,0,24832,0,303447,262037,179681,79448,2908,41410,29056,11796,558
Butler County,"Butler County, Ohio",470.2002,50,3900170,390,170,70271,470.2001799,70271,48431,70271,35279,278863,226832,111997,108902,5933,52031,26503,23953,1575
Carroll County,"Carroll County, Ohio",399.0058,50,3900190,390,190,15761,399.0057851,15761,0,15761,0,239888,195181,158755,34815,1611,44707,35289,8902,516
Champaign County,"Champaign County, Ohio",429.7048,50,3900210,390,210,26351,429.7047661,26351,7739,26351,0,256240,220814,108482,106349,5983,35426,16654,17268,1504
Clark County,"Clark County, Ohio",403.7947,50,3900230,390,230,66435,403.7946845,66435,46921,66435,46921,241631,208353,98747,99823,9783,33278,15512,15213,2553
Clermont County,"Clermont County, Ohio",457.6713,50,3900250,390,250,29551,457.6712534,29551,0,29551,0,274210,228064,155860,69155,3049,46146,31077,14256,813
Clinton County,"Clinton County, Ohio",412.2847,50,3900270,390,270,23680,412.2846827,23680,4491,23680,0,260404,231318,118595,99545,13178,29086,15092,12251,1743
Columbiana County,"Columbiana County, Ohio",535.1811,50,3900290,390,290,76619,535.1811095,76619,46385,76619,0,312190,238871,166661,68775,3435,73319,49270,22702,1347
Coshocton County,"Coshocton County, Ohio",567.5733,50,3900310,390,310,30121,567.5733154,30121,9603,30121,0,343597,276699,219468,54308,2923,66898,52926,13382,590
Crawford County,"Crawford County, Ohio",402.8284,50,3900330,390,330,34036,402.8284317,34036,19143,34036,0,245412,205363,127639,76757,967,40049,24789,15073,187
Cuyahoga County,"Cuyahoga County, Ohio",459.4089,50,3900350,390,350,637425,459.4089174,637425,599579,637425,560663,217730,154502,111410,35160,7932,63228,44291,14451,4486
Darke County,"Darke County, Ohio",600.2858,50,3900370,390,370,42933,600.2857753,42933,7832,42933,0,372180,325757,154898,169251,1608,46423,22159,23816,448
Defiance County,"Defiance County, Ohio",414.1833,50,3900390,390,390,24498,414.1832822,24498,7327,24498,0,249682,190187,132499,55146,2542,59495,40021,17693,1781
Delaware County,"Delaware County, Ohio",455.9736,50,3900410,390,410,27182,455.9736449,27182,9076,27182,0,276582,230113,158147,67441,4525,46469,31726,13590,1153
Erie County,"Erie County, Ohio",256.5774,50,3900430,390,430,38327,256.5773663,38327,19989,38327,0,144319,119010,84708,33120,1182,25309,18171,6934,204
Fairfield County,"Fairfield County, Ohio",508.5959,50,3900450,390,450,39201,508.5959272,39201,13093,39201,0,301067,260999,172163,83796,5040,40068,27418,11446,1204
Fayette County,"Fayette County, Ohio",407.0774,50,3900470,390,470,21744,407.0773975,21744,7277,21744,0,249140,234463,125570,101270,7623,14677,8609,5451,617
Franklin County,"Franklin County, Ohio",543.3248,50,3900490,390,490,221567,543.3247829,221567,181511,221567,181511,306261,277044,160337,110529,6178,29217,16357,11802,1058
