Geo_name,Geo_QName,Geo_AREAL,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_A002_001,SE_T002_001,SE_T002_002,SE_T003_001,SE_T003_002,SE_T081_001,SE_T081_002,SE_T081_003,SE_T081_004,SE_T081_005
Adams County,"Adams County, Ohio",585.7857,50,3900010,390,10,22403,585.7856879,22403,0,22403,0,321892,214375,107517,83942,23575
Allen County,"Allen County, Ohio",406.88,50,3900030,390,30,68223,406.8799787,68223,44495,68223,41326,241488,205577,35911,31357,4554
Ashland County,"Ashland County, Ohio",426.8443,50,3900050,390,50,24627,426.8442626,24627,9249,24627,0,252142,190956,61186,36579,24607
Ashtabula County,"Ashtabula County, Ohio",709.7655,50,3900070,390,70,65545,709.7655449,65545,34506,65545,0,381320,252635,128685,68750,59935
Athens County,"Athens County, Ohio",508.5371,50,3900090,390,90,50430,508.5371204,50430,15998,50430,0,256974,187906,69068,42792,26276
Auglaize County,"Auglaize County, Ohio",401.7178,50,3900110,390,110,29527,401.7178055,29527,10974,29527,0,240568,203146,37422,30837,6585
Belmont County,"Belmont County, Ohio",541.3875,50,3900130,390,130,93193,541.3875198,93193,38621,93193,0,307934,235708,72226,37345,34881
Brown County,"Brown County, Ohio",495.2166,50,3900150,390,150,22621,495.21664,22621,0,22621,0,302391,263652,38739,23860,14879
Butler County,"Butler County, Ohio",470.2002,50,3900170,390,170,87025,470.2001799,87025,63269,87025,39675,272248,216656,55592,26562,29030
Carroll County,"Carroll County, Ohio",399.0058,50,3900190,390,190,15942,399.0057851,15942,0,15942,0,229597,171631,57966,32484,25482
Champaign County,"Champaign County, Ohio",429.7048,50,3900210,390,210,25071,429.7047661,25071,7621,25071,0,258168,221010,37158,24349,12809
Clark County,"Clark County, Ohio",403.7947,50,3900230,390,230,80728,403.7946845,80728,60840,80728,60840,241540,204277,37263,19083,18180
Clermont County,"Clermont County, Ohio",457.6713,50,3900250,390,250,28291,457.6712534,28291,0,28291,0,276070,230319,45751,24118,21633
Clinton County,"Clinton County, Ohio",412.2847,50,3900270,390,270,23036,412.2846827,23036,5037,23036,0,256686,231732,24954,19896,5058
