Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T002_001
Adams,"Adams County, Ohio",50,39001,39,1,21705,585.7857056
Allen,"Allen County, Ohio",50,39003,39,3,73303,406.8799744
Ashland,"Ashland County, Ohio",50,39005,39,5,29785,426.8442688
Ashtabula,"Ashtabula County, Ohio",50,39007,39,7,68674,709.765564
Athens,"Athens County, Ohio",50,39009,39,9,46166,508.5371094
Auglaize,"Auglaize County, Ohio",50,39011,39,11,28037,401.717804
Belmont,"Belmont County, Ohio",50,39013,39,13,95614,541.3875122
Brown,"Brown County, Ohio",50,39015,39,15,21638,495.2166443
Butler,"Butler County, Ohio",50,39017,39,17,120249,470.2001648
Carroll,"Carroll County, Ohio",50,39019,39,19,17449,399.0057983
Champaign,"Champaign County, Ohio",50,39021,39,21,25258,429.7047729
Clark,"Clark County, Ohio",50,39023,39,23,95647,403.7946777
Clermont,"Clermont County, Ohio",50,39025,39,25,34109,457.6712646
Clinton,"Clinton County, Ohio",50,39027,39,27,22574,412.284668
Columbiana,"Columbiana County, Ohio",50,39029,39,29,90121,535.1810913
Coshocton,"Coshocton County, Ohio",50,39031,39,31,30594,567.5733032
Crawford,"Crawford County, Ohio",50,39033,39,33,35571,402.8284302
Cuyahoga,"Cuyahoga County, Ohio",50,39035,39,35,1217250,459.408905
Darke,"Darke County, Ohio",50,39037,39,37,38831,600.2857666
Defiance,"Defiance County, Ohio",50,39039,39,39,24367,414.1832886
Delaware,"Delaware County, Ohio",50,39041,39,41,26780,455.9736328
Erie,"Erie County, Ohio",50,39043,39,43,43201,256.5773621
Fairfield,"Fairfield County, Ohio",50,39045,39,45,48490,508.5959167
Fayette,"Fayette County, Ohio",50,39047,39,47,21385,407.0773926
Franklin,"Franklin County, Ohio",50,39049,39,49,388712,543.3247681
Fulton,"Fulton County, Ohio",50,39051,39,51,23626,407.3191833
Gallia,"Gallia County, Ohio",50,39053,39,53,24930,471.135376
Geauga,"Geauga County, Ohio",50,39055,39,55,19430,408.2840271
Greene,"Greene County, Ohio",50,39057,39,57,35863,416.2127991
Guernsey,"Guernsey County, Ohio",50,39059,39,59,38822,528.2915039
Hamilton,"Hamilton County, Ohio",50,39061,39,61,621987,412.7839966
Hancock,"Hancock County, Ohio",50,39063,39,63,40793,533.5929565
Hardin,"Hardin County, Ohio",50,39065,39,65,27061,470.5338135
Harrison,"Harrison County, Ohio",50,39067,39,67,20313,410.7887268
Henry,"Henry County, Ohio",50,39069,39,69,22756,419.9747925
Highland,"Highland County, Ohio",50,39071,39,71,27099,557.8397217
Hocking,"Hocking County, Ohio",50,39073,39,73,21504,423.5991516
Holmes,"Holmes County, Ohio",50,39075,39,75,17876,424.0182495
Huron,"Huron County, Ohio",50,39077,39,77,34800,494.5126953
Jackson,"Jackson County, Ohio",50,39079,39,79,27004,421.499115
Jefferson,"Jefferson County, Ohio",50,39081,39,81,98129,410.8725281
Knox,"Knox County, Ohio",50,39083,39,83,31024,529.5310669
Lake,"Lake County, Ohio",50,39085,39,85,50020,231.713913
Lawrence,"Lawrence County, Ohio",50,39087,39,87,46705,457.2767334
Licking,"Licking County, Ohio",50,39089,39,89,62279,688.3791504
Logan,"Logan County, Ohio",50,39091,39,91,29624,466.7751465
Lorain,"Lorain County, Ohio",50,39093,39,93,112390,494.6682739
Lucas,"Lucas County, Ohio",50,39095,39,95,344333,347.0145264
Madison,"Madison County, Ohio",50,39097,39,97,21811,465.9407043
Mahoning,"Mahoning County, Ohio",50,39099,39,99,240251,423.3810425
Marion,"Marion County, Ohio",50,39101,39,101,44898,404.144165
Medina,"Medina County, Ohio",50,39103,39,103,33034,423.1117554
Meigs,"Meigs County, Ohio",50,39105,39,105,24104,432.3764343
Mercer,"Mercer County, Ohio",50,39107,39,107,26256,473.2922668
Miami,"Miami County, Ohio",50,39109,39,109,52632,409.2189026
Monroe,"Monroe County, Ohio",50,39111,39,111,18641,457.4577637
Montgomery,"Montgomery County, Ohio",50,39113,39,113,295480,464.3444214
Morgan,"Morgan County, Ohio",50,39115,39,115,14227,421.8582153
Morrow,"Morrow County, Ohio",50,39117,39,117,15646,407.355011
Muskingum,"Muskingum County, Ohio",50,39119,39,119,69795,672.590332
Noble,"Noble County, Ohio",50,39121,39,121,14587,404.5847778
Ottawa,"Ottawa County, Ohio",50,39123,39,123,24360,267.0984192
Paulding,"Paulding County, Ohio",50,39125,39,125,15527,418.8962097
Perry,"Perry County, Ohio",50,39127,39,127,31087,412.5924683
Pickaway,"Pickaway County, Ohio",50,39129,39,129,27889,506.7893372
Pike,"Pike County, Ohio",50,39131,39,131,16113,443.9417419
Portage,"Portage County, Ohio",50,39133,39,133,46660,507.1042175
Preble,"Preble County, Ohio",50,39135,39,135,23329,426.3253174
Putnam,"Putnam County, Ohio",50,39137,39,137,25016,484.2261047
Richland,"Richland County, Ohio",50,39139,39,139,73853,500.3257141
Ross,"Ross County, Ohio",50,39141,39,141,52147,692.960022
Sandusky,"Sandusky County, Ohio",50,39143,39,143,41014,412.3482971
Scioto,"Scioto County, Ohio",50,39145,39,145,86565,616.0733643
Seneca,"Seneca County, Ohio",50,39147,39,147,48499,552.3652954
Shelby,"Shelby County, Ohio",50,39149,39,149,26071,411.0359497
Stark,"Stark County, Ohio",50,39151,39,151,234887,580.9082031
Summit,"Summit County, Ohio",50,39153,39,153,339405,420.0610657
Trumbull,"Trumbull County, Ohio",50,39155,39,155,132315,634.7149658
Tuscarawas,"Tuscarawas County, Ohio",50,39157,39,157,68816,571.4823608
Union,"Union County, Ohio",50,39159,39,159,20012,436.9747009
Van Wert,"Van Wert County, Ohio",50,39161,39,161,26759,410.4847717
Vinton,"Vinton County, Ohio",50,39163,39,163,11573,414.9590149
Warren,"Warren County, Ohio",50,39165,39,165,29894,407.1390686
Washington,"Washington County, Ohio",50,39167,39,167,43537,640.1477051
Wayne,"Wayne County, Ohio",50,39169,39,169,50520,556.3108521
Williams,"Williams County, Ohio",50,39171,39,171,25510,423.0502319
Wood,"Wood County, Ohio",50,39173,39,173,51796,620.5390015
Wyandot,"Wyandot County, Ohio",50,39175,39,175,19218,407.620575
