Geo_name,Geo_qname,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,Geo_NHGISST,Geo_NHGISCTY,Geo_GISJOIN,Geo_GISJOIN2,SE_T001_001,SE_T002_001
Adams County,"Adams County, Ohio",50,390010,24,10,390,10,G3900010,3900010,19982,585.7857056
Allen County,"Allen County, Ohio",50,390030,24,30,390,30,G3900030,3900030,103691,406.8800049
Ashland County,"Ashland County, Ohio",50,390050,24,50,390,50,G3900050,3900050,38771,426.8442688
Ashtabula County,"Ashtabula County, Ohio",50,390070,24,70,390,70,G3900070,3900070,93067,709.765564
Athens County,"Athens County, Ohio",50,390090,24,90,390,90,G3900090,3900090,46998,508.5371399
Auglaize County,"Auglaize County, Ohio",50,390110,24,110,390,110,G3900110,3900110,36147,401.7178345
Belmont County,"Belmont County, Ohio",50,390130,24,130,390,130,G3900130,3900130,83864,541.3875122
Brown County,"Brown County, Ohio",50,390150,24,150,390,150,G3900150,3900150,25178,495.2166748
Butler County,"Butler County, Ohio",50,390170,24,170,390,170,G3900170,3900170,199076,470.2001953
Carroll County,"Carroll County, Ohio",50,390190,24,190,390,190,G3900190,3900190,20857,399.0057983
Champaign County,"Champaign County, Ohio",50,390210,24,210,390,210,G3900210,3900210,29714,429.7047729
Clark County,"Clark County, Ohio",50,390230,24,230,390,230,G3900230,3900230,131440,403.7947083
Clermont County,"Clermont County, Ohio",50,390250,24,250,390,250,G3900250,3900250,80530,457.6712646
Clinton County,"Clinton County, Ohio",50,390270,24,270,390,270,G3900270,3900270,30004,412.2846985
Columbiana County,"Columbiana County, Ohio",50,390290,24,290,390,290,G3900290,3900290,107004,535.1811523
Coshocton County,"Coshocton County, Ohio",50,390310,24,310,390,310,G3900310,3900310,32224,567.5733643
Crawford County,"Crawford County, Ohio",50,390330,24,330,390,330,G3900330,3900330,46775,402.8284607
Cuyahoga County,"Cuyahoga County, Ohio",50,390350,24,350,390,350,G3900350,3900350,1647895,459.4089355
Darke County,"Darke County, Ohio",50,390370,24,370,390,370,G3900370,3900370,45612,600.2858276
Defiance County,"Defiance County, Ohio",50,390390,24,390,390,390,G3900390,3900390,31508,414.1832886
Delaware County,"Delaware County, Ohio",50,390410,24,410,390,410,G3900410,3900410,36107,455.9736633
Erie County,"Erie County, Ohio",50,390430,24,430,390,430,G3900430,3900430,68000,256.5773621
Fairfield County,"Fairfield County, Ohio",50,390450,24,450,390,450,G3900450,3900450,63912,508.5959473
Fayette County,"Fayette County, Ohio",50,390470,24,470,390,470,G3900470,3900470,24775,407.0774231
Franklin County,"Franklin County, Ohio",50,390490,24,490,390,490,G3900490,3900490,682962,543.3248291
Fulton County,"Fulton County, Ohio",50,390510,24,510,390,510,G3900510,3900510,29301,407.3192139
Gallia County,"Gallia County, Ohio",50,390530,24,530,390,530,G3900530,3900530,26120,471.135376
Geauga County,"Geauga County, Ohio",50,390550,24,550,390,550,G3900550,3900550,47573,408.2840576
Greene County,"Greene County, Ohio",50,390570,24,570,390,570,G3900570,3900570,94642,416.2127991
Guernsey County,"Guernsey County, Ohio",50,390590,24,590,390,590,G3900590,3900590,38579,528.2915039
Hamilton County,"Hamilton County, Ohio",50,390610,24,610,390,610,G3900610,3900610,864121,412.7840271
Hancock County,"Hancock County, Ohio",50,390630,24,630,390,630,G3900630,3900630,53686,533.5929565
Hardin County,"Hardin County, Ohio",50,390650,24,650,390,650,G3900650,3900650,29633,470.533844
Harrison County,"Harrison County, Ohio",50,390670,24,670,390,670,G3900670,3900670,17995,410.7887268
Henry County,"Henry County, Ohio",50,390690,24,690,390,690,G3900690,3900690,25392,419.974823
Highland County,"Highland County, Ohio",50,390710,24,710,390,710,G3900710,3900710,29716,557.8397217
Hocking County,"Hocking County, Ohio",50,390730,24,730,390,730,G3900730,3900730,20168,423.5991516
Holmes County,"Holmes County, Ohio",50,390750,24,750,390,750,G3900750,3900750,21591,424.01828
Huron County,"Huron County, Ohio",50,390770,24,770,390,770,G3900770,3900770,47326,494.5127258
Jackson County,"Jackson County, Ohio",50,390790,24,790,390,790,G3900790,3900790,29372,421.4991455
Jefferson County,"Jefferson County, Ohio",50,390810,24,810,390,810,G3900810,3900810,99201,410.8725281
Knox County,"Knox County, Ohio",50,390830,24,830,390,830,G3900830,3900830,38808,529.5310669
Lake County,"Lake County, Ohio",50,390850,24,850,390,850,G3900850,3900850,148700,231.7139282
Lawrence County,"Lawrence County, Ohio",50,390870,24,870,390,870,G3900870,3900870,55438,457.2767334
Licking County,"Licking County, Ohio",50,390890,24,890,390,890,G3900890,3900890,90242,688.3792114
Logan County,"Logan County, Ohio",50,390910,24,910,390,910,G3900910,3900910,34803,466.7751465
Lorain County,"Lorain County, Ohio",50,390930,24,930,390,930,G3900930,3900930,217500,494.6683044
Lucas County,"Lucas County, Ohio",50,390950,24,950,390,950,G3900950,3900950,456931,347.0145569
Madison County,"Madison County, Ohio",50,390970,24,970,390,970,G3900970,3900970,26454,465.9407043
Mahoning County,"Mahoning County, Ohio",50,390990,24,990,390,990,G3900990,3900990,300480,423.3810425
Marion County,"Marion County, Ohio",50,391010,24,1010,390,1010,G3901010,3901010,60221,404.144165
Medina County,"Medina County, Ohio",50,391030,24,1030,390,1030,G3901030,3901030,65315,423.1117554
Meigs County,"Meigs County, Ohio",50,391050,24,1050,390,1050,G3901050,3901050,22159,432.3764343
Mercer County,"Mercer County, Ohio",50,391070,24,1070,390,1070,G3901070,3901070,32559,473.2922974
Miami County,"Miami County, Ohio",50,391090,24,1090,390,1090,G3901090,3901090,72901,409.2189331
Monroe County,"Monroe County, Ohio",50,391110,24,1110,390,1110,G3901110,3901110,15268,457.4577942
Montgomery County,"Montgomery County, Ohio",50,391130,24,1130,390,1130,G3901130,3901130,527080,464.3444519
Morgan County,"Morgan County, Ohio",50,391150,24,1150,390,1150,G3901150,3901150,12747,421.8582153
Morrow County,"Morrow County, Ohio",50,391170,24,1170,390,1170,G3901170,3901170,19405,407.3550415
Muskingum County,"Muskingum County, Ohio",50,391190,24,1190,390,1190,G3901190,3901190,79159,672.5903931
Noble County,"Noble County, Ohio",50,391210,24,1210,390,1210,G3901210,3901210,10982,404.5847778
Ottawa County,"Ottawa County, Ohio",50,391230,24,1230,390,1230,G3901230,3901230,35323,267.0984192
Paulding County,"Paulding County, Ohio",50,391250,24,1250,390,1250,G3901250,3901250,16792,418.8962402
Perry County,"Perry County, Ohio",50,391270,24,1270,390,1270,G3901270,3901270,27864,412.5924988
Pickaway County,"Pickaway County, Ohio",50,391290,24,1290,390,1290,G3901290,3901290,35855,506.7893677
Pike County,"Pike County, Ohio",50,391310,24,1310,390,1310,G3901310,3901310,19380,443.9417725
Portage County,"Portage County, Ohio",50,391330,24,1330,390,1330,G3901330,3901330,91798,507.1042175
Preble County,"Preble County, Ohio",50,391350,24,1350,390,1350,G3901350,3901350,32498,426.3253174
Putnam County,"Putnam County, Ohio",50,391370,24,1370,390,1370,G3901370,3901370,28331,484.2261047
Richland County,"Richland County, Ohio",50,391390,24,1390,390,1390,G3901390,3901390,117761,500.3257446
Ross County,"Ross County, Ohio",50,391410,24,1410,390,1410,G3901410,3901410,61215,692.960083
Sandusky County,"Sandusky County, Ohio",50,391430,24,1430,390,1430,G3901430,3901430,56486,412.3483276
Scioto County,"Scioto County, Ohio",50,391450,24,1450,390,1450,G3901450,3901450,84216,616.0734253
Seneca County,"Seneca County, Ohio",50,391470,24,1470,390,1470,G3901470,3901470,59326,552.3652954
Shelby County,"Shelby County, Ohio",50,391490,24,1490,390,1490,G3901490,3901490,33586,411.0359802
Stark County,"Stark County, Ohio",50,391510,24,1510,390,1510,G3901510,3901510,340345,580.9082031
Summit County,"Summit County, Ohio",50,391530,24,1530,390,1530,G3901530,3901530,513569,420.0610657
Trumbull County,"Trumbull County, Ohio",50,391550,24,1550,390,1550,G3901550,3901550,208526,634.7150269
Tuscarawas County,"Tuscarawas County, Ohio",50,391570,24,1570,390,1570,G3901570,3901570,76789,571.4823608
Union County,"Union County, Ohio",50,391590,24,1590,390,1590,G3901590,3901590,22853,436.9747314
Van Wert County,"Van Wert County, Ohio",50,391610,24,1610,390,1610,G3901610,3901610,28840,410.4848022
Vinton County,"Vinton County, Ohio",50,391630,24,1630,390,1630,G3901630,3901630,10274,414.9590454
Warren County,"Warren County, Ohio",50,391650,24,1650,390,1650,G3901650,3901650,65711,407.1390991
Washington County,"Washington County, Ohio",50,391670,24,1670,390,1670,G3901670,3901670,51689,640.1477661
Wayne County,"Wayne County, Ohio",50,391690,24,1690,390,1690,G3901690,3901690,75497,556.3108521
Williams County,"Williams County, Ohio",50,391710,24,1710,390,1710,G3901710,3901710,29968,423.0502319
Wood County,"Wood County, Ohio",50,391730,24,1730,390,1730,G3901730,3901730,72596,620.5390625
Wyandot County,"Wyandot County, Ohio",50,391750,24,1750,390,1750,G3901750,3901750,21648,407.6206055
