Geo_FIPS,Geo_NAME,Geo_QName,Geo_State,Geo_METROARA,Geo_COUNTY,Geo_PLACE,Geo_URBANARA,SE_T001_001,SE_T003_001
39001,Adams County,"Adams County, Ohio",39,,1,,,18957,585.7855376
39003,Allen County,"Allen County, Ohio",39,4320,3,,,111144,406.880003
39005,Ashland County,"Ashland County, Ohio",39,,5,,,43303,426.844259
39007,Ashtabula County,"Ashtabula County, Ohio",39,,7,,,98237,710.0081016
39009,Athens County,"Athens County, Ohio",39,,9,,,54889,508.5371877
39011,Auglaize County,"Auglaize County, Ohio",39,4320,11,,,38602,401.7176928
39013,Belmont County,"Belmont County, Ohio",39,9000,13,,,80917,541.3875302
39015,Brown County,"Brown County, Ohio",39,9000,15,,,26635,495.2164824
39017,Butler County,"Butler County, Ohio",39,3200,17,,,226207,470.2000944
39019,Carroll County,"Carroll County, Ohio",39,,19,,,21579,399.005784
39021,Champaign County,"Champaign County, Ohio",39,3200,21,,,30491,429.7048925
39023,Clark County,"Clark County, Ohio",39,7960,23,,,156946,403.7947725
39025,Clermont County,"Clermont County, Ohio",39,1640,25,,,95725,457.6713229
39027,Clinton County,"Clinton County, Ohio",39,,27,,,31464,412.2846881
39029,Columbiana County,"Columbiana County, Ohio",39,,29,,,108310,535.1811869
39031,Coshocton County,"Coshocton County, Ohio",39,,31,,,33486,567.5732435
39033,Crawford County,"Crawford County, Ohio",39,1640,33,,,50364,402.8284371
39035,Cuyahoga County,"Cuyahoga County, Ohio",39,1680,35,,,1721300,459.4089547
39037,Darke County,"Darke County, Ohio",39,,37,,,49141,600.2858234
39039,Defiance County,"Defiance County, Ohio",39,1680,39,,,36949,414.1832975
39041,Delaware County,"Delaware County, Ohio",39,1840,41,,,42908,455.9735407
39043,Erie County,"Erie County, Ohio",39,,43,,,75909,256.5774777
39045,Fairfield County,"Fairfield County, Ohio",39,,45,,,73301,508.5959582
39047,Fayette County,"Fayette County, Ohio",39,1840,47,,,25461,407.077257
39049,Franklin County,"Franklin County, Ohio",39,1840,49,,,833249,543.3250615
39051,Fulton County,"Fulton County, Ohio",39,,51,,,33071,407.3190822
39053,Gallia County,"Gallia County, Ohio",39,1840,53,,,25239,471.1352652
39055,Geauga County,"Geauga County, Ohio",39,1680,55,,,62977,408.0417209
39057,Greene County,"Greene County, Ohio",39,2000,57,,,125057,416.2126382
39059,Guernsey County,"Guernsey County, Ohio",39,2000,59,,,37665,528.2915876
39061,Hamilton County,"Hamilton County, Ohio",39,1640,61,,,924018,412.7840456
39063,Hancock County,"Hancock County, Ohio",39,,63,,,61217,533.5930008
39065,Hardin County,"Hardin County, Ohio",39,,65,,,30813,470.5338112
39067,Harrison County,"Harrison County, Ohio",39,,67,,,17013,410.7887221
39069,Henry County,"Henry County, Ohio",39,,69,,,27058,419.974847
39071,Highland County,"Highland County, Ohio",39,,71,,,28996,557.8397667
39073,Hocking County,"Hocking County, Ohio",39,,73,,,20322,423.5991326
39075,Holmes County,"Holmes County, Ohio",39,,75,,,23024,424.0182849
39077,Huron County,"Huron County, Ohio",39,,77,,,49587,494.5126423
39079,Jackson County,"Jackson County, Ohio",39,1640,79,,,27174,421.4990996
39081,Jefferson County,"Jefferson County, Ohio",39,8080,81,,,96193,410.8724607
39083,Knox County,"Knox County, Ohio",39,8080,83,,,41795,529.5310063
39085,Lake County,"Lake County, Ohio",39,1680,85,,,197200,231.7138873
39087,Lawrence County,"Lawrence County, Ohio",39,3400,87,,,56868,457.2765975
39089,Licking County,"Licking County, Ohio",39,,89,,,107799,688.3792458
39091,Logan County,"Logan County, Ohio",39,3400,91,,,35072,466.7752303
39093,Lorain County,"Lorain County, Ohio",39,4440,93,,,256843,494.6684223
39095,Lucas County,"Lucas County, Ohio",39,8400,95,,,484370,347.0146184
39097,Madison County,"Madison County, Ohio",39,8400,97,,,28318,465.9407214
39099,Mahoning County,"Mahoning County, Ohio",39,9320,99,,,303424,423.3810041
39101,Marion County,"Marion County, Ohio",39,9320,101,,,64724,404.1442251
39103,Medina County,"Medina County, Ohio",39,1680,103,,,82717,423.1117173
39105,Meigs County,"Meigs County, Ohio",39,,105,,,19799,432.3763728
39107,Mercer County,"Mercer County, Ohio",39,1680,107,,,35265,473.2921893
39109,Miami County,"Miami County, Ohio",39,2000,109,,,84342,409.2190212
39111,Monroe County,"Monroe County, Ohio",39,,111,,,15739,457.4577887
39113,Montgomery County,"Montgomery County, Ohio",39,2000,113,,,606148,464.3443705
39115,Morgan County,"Morgan County, Ohio",39,,115,,,12375,421.8581675
39117,Morrow County,"Morrow County, Ohio",39,,117,,,21348,407.3549722
39119,Muskingum County,"Muskingum County, Ohio",39,,119,,,77826,672.5906169
39121,Noble County,"Noble County, Ohio",39,,121,,,10428,404.5847051
39123,Ottawa County,"Ottawa County, Ohio",39,,123,,,37099,267.0983632
39125,Paulding County,"Paulding County, Ohio",39,,125,,,19329,418.896201
39127,Perry County,"Perry County, Ohio",39,2000,127,,,27434,412.5921932
39129,Pickaway County,"Pickaway County, Ohio",39,1840,129,,,40071,506.7891909
39131,Pike County,"Pike County, Ohio",39,1840,131,,,19114,443.941667
39133,Portage County,"Portage County, Ohio",39,80,133,,,125868,507.1041333
39135,Preble County,"Preble County, Ohio",39,2000,135,,,34719,426.3253599
39137,Putnam County,"Putnam County, Ohio",39,4320,137,,,31134,484.226155
39139,Richland County,"Richland County, Ohio",39,4800,139,,,129997,500.3258299
39141,Ross County,"Ross County, Ohio",39,,141,,,61211,692.9600286
39143,Sandusky County,"Sandusky County, Ohio",39,,143,,,60983,412.3483071
39145,Scioto County,"Scioto County, Ohio",39,,145,,,76951,616.0732699
39147,Seneca County,"Seneca County, Ohio",39,,147,,,60696,552.3654114
39149,Shelby County,"Shelby County, Ohio",39,4800,149,,,37748,411.0359917
39151,Stark County,"Stark County, Ohio",39,1320,151,,,372210,580.9082241
39153,Summit County,"Summit County, Ohio",39,80,153,,,553371,420.0609889
39155,Trumbull County,"Trumbull County, Ohio",39,9320,155,,,232579,634.7148718
39157,Tuscarawas County,"Tuscarawas County, Ohio",39,,157,,,77211,571.4822461
39159,Union County,"Union County, Ohio",39,9320,159,,,23786,436.9746874
39161,Van Wert County,"Van Wert County, Ohio",39,4320,161,,,29194,410.4848053
39163,Vinton County,"Vinton County, Ohio",39,4320,163,,,9420,414.959012
39165,Warren County,"Warren County, Ohio",39,1640,165,,,84925,407.1390585
39167,Washington County,"Washington County, Ohio",39,,167,,,57160,640.1477108
39169,Wayne County,"Wayne County, Ohio",39,,169,,,87123,556.3107853
39171,Williams County,"Williams County, Ohio",39,1640,171,,,33669,423.0501305
39173,Wood County,"Wood County, Ohio",39,8400,173,,,89722,620.5390353
39175,Wyandot County,"Wyandot County, Ohio",39,8400,175,,,21826,407.6205509
