Geo_Name,Geo_QName,Geo_GISJOIN,Geo_GISJOIN2,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_A002_001
Adams County,"Adams County, Ohio",G3900010,3900010,11,39001,39,1,24328,585.785687
Allen County,"Allen County, Ohio",G3900030,3900030,11,39003,39,3,112241,406.879978
Ashland County,"Ashland County, Ohio",G3900050,3900050,11,39005,39,5,46178,426.844262
Ashtabula County,"Ashtabula County, Ohio",G3900070,3900070,11,39007,39,7,104215,710.008013
Athens County,"Athens County, Ohio",G3900090,3900090,11,39009,39,9,56399,508.53712
Auglaize County,"Auglaize County, Ohio",G3900110,3900110,11,39011,39,11,42554,401.717805
Belmont County,"Belmont County, Ohio",G3900130,3900130,11,39013,39,13,82569,541.387519
Brown County,"Brown County, Ohio",G3900150,3900150,11,39015,39,15,31920,495.216639
Butler County,"Butler County, Ohio",G3900170,3900170,11,39017,39,17,258787,470.200179
Carroll County,"Carroll County, Ohio",G3900190,3900190,11,39019,39,19,25598,399.005785
Champaign County,"Champaign County, Ohio",G3900210,3900210,11,39021,39,21,33649,429.704766
Clark County,"Clark County, Ohio",G3900230,3900230,11,39023,39,23,150236,403.794684
Clermont County,"Clermont County, Ohio",G3900250,3900250,11,39025,39,25,128483,457.671253
Clinton County,"Clinton County, Ohio",G3900270,3900270,11,39027,39,27,34603,412.284682
Columbiana County,"Columbiana County, Ohio",G3900290,3900290,11,39029,39,29,113572,535.181109
Coshocton County,"Coshocton County, Ohio",G3900310,3900310,11,39031,39,31,36024,567.573315
Crawford County,"Crawford County, Ohio",G3900330,3900330,11,39033,39,33,50075,402.828431
Cuyahoga County,"Cuyahoga County, Ohio",G3900350,3900350,11,39035,39,35,1498400,459.408917
Darke County,"Darke County, Ohio",G3900370,3900370,11,39037,39,37,55096,600.285775
Defiance County,"Defiance County, Ohio",G3900390,3900390,11,39039,39,39,39987,414.183282
Delaware County,"Delaware County, Ohio",G3900410,3900410,11,39041,39,41,53840,455.973644
Erie County,"Erie County, Ohio",G3900430,3900430,11,39043,39,43,79655,256.577366
Fairfield County,"Fairfield County, Ohio",G3900450,3900450,11,39045,39,45,93678,508.595927
Fayette County,"Fayette County, Ohio",G3900470,3900470,11,39047,39,47,27467,407.077397
Franklin County,"Franklin County, Ohio",G3900490,3900490,11,39049,39,49,869132,543.324782
Fulton County,"Fulton County, Ohio",G3900510,3900510,11,39051,39,51,37751,407.319194
Gallia County,"Gallia County, Ohio",G3900530,3900530,11,39053,39,53,30098,471.135367
Geauga County,"Geauga County, Ohio",G3900550,3900550,11,39055,39,55,74474,408.041566
Greene County,"Greene County, Ohio",G3900570,3900570,11,39057,39,57,129769,416.212789
Guernsey County,"Guernsey County, Ohio",G3900590,3900590,11,39059,39,59,42024,528.29151
Hamilton County,"Hamilton County, Ohio",G3900610,3900610,11,39061,39,61,873224,412.783997
Hancock County,"Hancock County, Ohio",G3900630,3900630,11,39063,39,63,64581,533.592954
Hardin County,"Hardin County, Ohio",G3900650,3900650,11,39065,39,65,32719,470.533815
Harrison County,"Harrison County, Ohio",G3900670,3900670,11,39067,39,67,18152,410.78872
Henry County,"Henry County, Ohio",G3900690,3900690,11,39069,39,69,28383,419.9748
Highland County,"Highland County, Ohio",G3900710,3900710,11,39071,39,71,33477,557.839721
Hocking County,"Hocking County, Ohio",G3900730,3900730,11,39073,39,73,24304,423.599139
Holmes County,"Holmes County, Ohio",G3900750,3900750,11,39075,39,75,29416,424.018261
Huron County,"Huron County, Ohio",G3900770,3900770,11,39077,39,77,54608,494.512695
Jackson County,"Jackson County, Ohio",G3900790,3900790,11,39079,39,79,30592,421.49912
Jefferson County,"Jefferson County, Ohio",G3900810,3900810,11,39081,39,81,91564,410.872521
Knox County,"Knox County, Ohio",G3900830,3900830,11,39083,39,83,46304,529.531071
Lake County,"Lake County, Ohio",G3900850,3900850,11,39085,39,85,212801,231.713917
Lawrence County,"Lawrence County, Ohio",G3900870,3900870,11,39087,39,87,63849,457.276725
Licking County,"Licking County, Ohio",G3900890,3900890,11,39089,39,89,120981,688.379172
Logan County,"Logan County, Ohio",G3900910,3900910,11,39091,39,91,39155,466.775135
