Geo_NAME,Geo_QName,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T004_007
Adams County,"Adams County, Ohio",50,0,2,3,39001,39,1,25371,585.8301274,583.9532847,1.876842673,25371,3096,0,3096,22275,2638,19637
Allen County,"Allen County, Ohio",50,0,2,3,39003,39,3,109755,406.9177154,404.4621056,2.455609833,109755,73886,66783,7103,35869,3139,32730
Ashland County,"Ashland County, Ohio",50,0,2,3,39005,39,5,47507,426.864526,424.3915416,2.472984431,47507,22923,0,22923,24584,3299,21285
Ashtabula County,"Ashtabula County, Ohio",50,0,2,3,39007,39,7,99821,1368.765029,702.7071168,666.0579122,99821,52663,0,52663,47158,2486,44672
Athens County,"Athens County, Ohio",50,0,2,3,39009,39,9,59549,508.5799625,506.7977149,1.78224764,59549,28475,0,28475,31074,928,30146
Auglaize County,"Auglaize County, Ohio",50,0,2,3,39011,39,11,44585,401.7400853,401.2732878,0.46679753,44585,24916,2053,22863,19669,3661,16008
Belmont County,"Belmont County, Ohio",50,0,2,3,39013,39,13,71074,541.4098444,537.3067366,4.103107814,71074,34576,25088,9488,36498,1099,35399
Brown County,"Brown County, Ohio",50,0,2,3,39015,39,15,34966,495.2582792,491.8015064,3.456772773,34966,3627,0,3627,31339,3479,27860
Butler County,"Butler County, Ohio",50,0,2,3,39017,39,17,291479,470.2407888,467.3102733,2.930515508,291479,241550,222613,18937,49929,2387,47542
Carroll County,"Carroll County, Ohio",50,0,2,3,39019,39,19,26521,399.0172927,394.6821375,4.335155221,26521,5070,0,5070,21451,1469,19982
Champaign County,"Champaign County, Ohio",50,0,2,3,39021,39,21,36019,429.7436899,428.5969665,1.14672346,36019,11353,0,11353,24666,2393,22273
Clark County,"Clark County, Ohio",50,0,2,3,39023,39,23,147548,403.8300564,400.0265638,3.803492526,147548,106010,90035,15975,41538,2254,39284
Clermont County,"Clermont County, Ohio",50,0,2,3,39025,39,25,150187,457.7407308,452.0565346,5.68419622,150187,79763,79763,0,70424,2076,68348
Clinton County,"Clinton County, Ohio",50,0,2,3,39027,39,27,35415,412.308474,410.9022899,1.406184121,35415,18067,0,18067,17348,2752,14596
Columbiana County,"Columbiana County, Ohio",50,0,2,3,39029,39,29,108276,535.2241014,532.5329693,2.69113216,108276,43578,0,43578,64698,2159,62539
Coshocton County,"Coshocton County, Ohio",50,0,2,3,39031,39,31,35427,567.6122824,564.1365906,3.475691779,35427,12193,0,12193,23234,2187,21047
Crawford County,"Crawford County, Ohio",50,0,2,3,39033,39,33,47870,402.8493568,402.3300494,0.519307425,47870,30280,0,30280,17590,2410,15180
Cuyahoga County,"Cuyahoga County, Ohio",50,0,2,3,39035,39,35,1412140,1245.626235,458.2820461,787.3441885,1412140,1409697,1407189,2508,2443,16,2427
Darke County,"Darke County, Ohio",50,0,2,3,39037,39,37,53619,600.3834767,599.9209263,0.462550406,53619,12863,0,12863,40756,6640,34116
Defiance County,"Defiance County, Ohio",50,0,2,3,39039,39,39,39350,414.209255,411.2181215,2.99113355,39350,20432,0,20432,18918,2913,16005
Delaware County,"Delaware County, Ohio",50,0,2,3,39041,39,41,66929,455.9947768,442.5414326,13.45334419,66929,29979,9949,20030,36950,2291,34659
Erie County,"Erie County, Ohio",50,0,2,3,39043,39,43,76779,625.7808916,254.4996347,371.2812569,76779,49788,6670,43118,26991,1117,25874
Fairfield County,"Fairfield County, Ohio",50,0,2,3,39045,39,45,103461,508.5861402,505.7413393,2.844800825,103461,50393,7270,43123,53068,3058,50010
Fayette County,"Fayette County, Ohio",50,0,2,3,39047,39,47,27466,407.1092221,406.6123086,0.496913499,27466,12983,0,12983,14483,1744,12739
Franklin County,"Franklin County, Ohio",50,0,2,3,39049,39,49,961437,543.35078,539.9704555,3.380324542,961437,931114,925568,5546,30323,1155,29168
Fulton County,"Fulton County, Ohio",50,0,2,3,39051,39,51,38498,407.361733,406.8231204,0.538612534,38498,15989,0,15989,22509,3577,18932
Gallia County,"Gallia County, Ohio",50,0,2,3,39053,39,53,30954,471.1624147,468.7994693,2.362945311,30954,4831,0,4831,26123,1245,24878
Geauga County,"Geauga County, Ohio",50,0,2,3,39055,39,55,81129,408.714635,404.142413,4.572221956,81129,12723,8277,4446,68406,1820,66586
Greene County,"Greene County, Ohio",50,0,2,3,39057,39,57,136731,416.2397664,414.9173664,1.322399949,136731,111259,76716,34543,25472,2516,22956
Guernsey County,"Guernsey County, Ohio",50,0,2,3,39059,39,59,39024,528.3290888,522.0448898,6.284199,39024,11748,0,11748,27276,1405,25871
Hamilton County,"Hamilton County, Ohio",50,0,2,3,39061,39,61,866228,412.8127235,407.3941655,5.418557924,866228,838670,831152,7518,27558,362,27196
Hancock County,"Hancock County, Ohio",50,0,2,3,39063,39,63,65536,533.6379937,531.3955123,2.242481432,65536,38952,0,38952,26584,3651,22933
Hardin County,"Hardin County, Ohio",50,0,2,3,39065,39,65,31111,470.5527593,470.3075844,0.245174881,31111,13769,0,13769,17342,3454,13888
Harrison County,"Harrison County, Ohio",50,0,2,3,39067,39,67,16085,410.8146447,403.5686652,7.245979518,16085,3439,0,3439,12646,734,11912
Henry County,"Henry County, Ohio",50,0,2,3,39069,39,69,29108,420.005807,416.5347484,3.471058553,29108,8884,0,8884,20224,3128,17096
Highland County,"Highland County, Ohio",50,0,2,3,39071,39,71,35728,557.8886852,553.3284324,4.560252789,35728,11407,0,11407,24321,3381,20940
Hocking County,"Hocking County, Ohio",50,0,2,3,39073,39,73,25533,423.6174067,422.7784067,0.839000026,25533,6725,0,6725,18808,667,18141
Holmes County,"Holmes County, Ohio",50,0,2,3,39075,39,75,32849,424.041733,423.0131568,1.028576194,32849,3148,0,3148,29701,5661,24040
Huron County,"Huron County, Ohio",50,0,2,3,39077,39,77,56240,494.9424476,493.107304,1.835143638,56240,27493,0,27493,28747,2708,26039
Jackson County,"Jackson County, Ohio",50,0,2,3,39079,39,79,30230,421.5220302,420.3023334,1.219696771,30230,12193,0,12193,18037,507,17530
Jefferson County,"Jefferson County, Ohio",50,0,2,3,39081,39,81,80298,410.8941817,409.6374192,1.25676258,80298,44907,38781,6126,35391,739,34652
Knox County,"Knox County, Ohio",50,0,2,3,39083,39,83,47473,529.5650018,527.1549521,2.410049776,47473,14560,0,14560,32913,2801,30112
Lake County,"Lake County, Ohio",50,0,2,3,39085,39,85,215499,979.0277021,228.2342621,750.79344,215499,193596,184897,8699,21903,274,21629
Lawrence County,"Lawrence County, Ohio",50,0,2,3,39087,39,87,61834,457.3052076,455.451531,1.853676542,61834,33792,33792,0,28042,820,27222
Licking County,"Licking County, Ohio",50,0,2,3,39089,39,89,128300,688.393537,686.5174665,1.876070468,128300,69503,55958,13545,58797,2847,55950
Logan County,"Logan County, Ohio",50,0,2,3,39091,39,91,42310,466.8114292,458.4777999,8.333629345,42310,12142,0,12142,30168,2466,27702
Lorain County,"Lorain County, Ohio",50,0,2,3,39093,39,93,271126,923.0926939,492.574483,430.5182109,271126,234175,218421,15754,36951,1775,35176
Lucas County,"Lucas County, Ohio",50,0,2,3,39095,39,95,462361,560.6473852,340.3988744,220.2485108,462361,438167,430889,7278,24194,1417,22777
Madison County,"Madison County, Ohio",50,0,2,3,39097,39,97,37068,465.9728153,465.2496459,0.723169374,37068,12312,0,12312,24756,2200,22556
Mahoning County,"Mahoning County, Ohio",50,0,2,3,39099,39,99,264806,423.4035061,415.2733526,8.130153499,264806,222296,217346,4950,42510,1374,41136
Marion County,"Marion County, Ohio",50,0,2,3,39101,39,101,64274,404.1678958,403.8640333,0.303862412,64274,34075,0,34075,30199,1730,28469
Medina County,"Medina County, Ohio",50,0,2,3,39103,39,103,122354,423.1316902,421.5594821,1.572208057,122354,70153,47724,22429,52201,2368,49833
Meigs County,"Meigs County, Ohio",50,0,2,3,39105,39,105,22987,432.4104977,429.4548855,2.95561215,22987,2737,0,2737,20250,866,19384
Mercer County,"Mercer County, Ohio",50,0,2,3,39107,39,107,39443,473.3180231,463.2878608,10.0301623,39443,13985,0,13985,25458,5282,20176
Miami County,"Miami County, Ohio",50,0,2,3,39109,39,109,93182,409.1903129,407.0300712,2.160241669,93182,54081,5361,48720,39101,4283,34818
Monroe County,"Monroe County, Ohio",50,0,2,3,39111,39,111,15497,457.4781814,455.5615702,1.916611197,15497,2832,0,2832,12665,1103,11562
Montgomery County,"Montgomery County, Ohio",50,0,2,3,39113,39,113,573809,464.3909547,461.7067724,2.684182321,573809,544690,530832,13858,29119,2072,27047
Morgan County,"Morgan County, Ohio",50,0,2,3,39115,39,115,14194,421.8826496,417.6984604,4.18418927,14194,0,0,0,14194,780,13414
Morrow County,"Morrow County, Ohio",50,0,2,3,39117,39,117,27749,407.3794937,405.5466666,1.832827025,27749,2896,0,2896,24853,2438,22415
Muskingum County,"Muskingum County, Ohio",50,0,2,3,39119,39,119,82068,672.6123828,664.6470949,7.96528787,82068,26778,0,26778,55290,1662,53628
Noble County,"Noble County, Ohio",50,0,2,3,39121,39,121,11336,404.6057356,399.0211538,5.584581859,11336,0,0,0,11336,797,10539
Ottawa County,"Ottawa County, Ohio",50,0,2,3,39123,39,123,40029,620.4109826,255.0969348,365.3140478,40029,9927,184,9743,30102,1605,28497
Paulding County,"Paulding County, Ohio",50,0,2,3,39125,39,125,20488,418.9197016,416.2818515,2.63785006,20488,2589,0,2589,17899,1761,16138
Perry County,"Perry County, Ohio",50,0,2,3,39127,39,127,31557,412.6169697,410.0362627,2.580706938,31557,7718,0,7718,23839,1206,22633
Pickaway County,"Pickaway County, Ohio",50,0,2,3,39129,39,129,48255,506.8459777,502.1594695,4.6865082,48255,11709,0,11709,36546,2527,34019
Pike County,"Pike County, Ohio",50,0,2,3,39131,39,131,24249,443.9781188,441.5213507,2.456768139,24249,4477,0,4477,19772,707,19065
Portage County,"Portage County, Ohio",50,0,2,3,39133,39,133,142585,507.138257,492.4192699,14.71898711,142585,79630,63405,16225,62955,1641,61314
Preble County,"Preble County, Ohio",50,0,2,3,39135,39,135,40113,426.3533267,424.8320842,1.521242569,40113,7396,0,7396,32717,3446,29271
Putnam County,"Putnam County, Ohio",50,0,2,3,39137,39,137,33819,484.2775333,483.913439,0.364094351,33819,3999,0,3999,29820,4709,25111
Richland County,"Richland County, Ohio",50,0,2,3,39139,39,139,126137,500.3625499,497.0389824,3.323567522,126137,86147,76570,9577,39990,2979,37011
Ross County,"Ross County, Ohio",50,0,2,3,39141,39,141,69330,693.0024386,688.4556994,4.546739213,69330,21921,0,21921,47409,1621,45788
Sandusky County,"Sandusky County, Ohio",50,0,2,3,39143,39,143,61963,417.8000053,409.2053708,8.594634415,61963,33323,0,33323,28640,2914,25726
Scioto County,"Scioto County, Ohio",50,0,2,3,39145,39,145,80327,616.1229318,612.3267753,3.796156585,80327,34127,0,34127,46200,874,45326
Seneca County,"Seneca County, Ohio",50,0,2,3,39147,39,147,59733,552.4075787,550.6272616,1.780317129,59733,29452,0,29452,30281,3927,26354
Shelby County,"Shelby County, Ohio",50,0,2,3,39149,39,149,44915,411.0648389,409.3057574,1.759081509,44915,18710,0,18710,26205,3463,22742
Stark County,"Stark County, Ohio",50,0,2,3,39151,39,151,367585,580.9432322,576.1783452,4.764886942,367585,286812,257064,29748,80773,2719,78054
Summit County,"Summit County, Ohio",50,0,2,3,39153,39,153,514990,420.0988576,412.8057736,7.293083983,514990,485812,477517,8295,29178,245,28933
Trumbull County,"Trumbull County, Ohio",50,0,2,3,39155,39,155,227813,634.0817023,615.8422356,18.23946675,227813,163916,149873,14043,63897,2288,61609
Tuscarawas County,"Tuscarawas County, Ohio",50,0,2,3,39157,39,157,84090,571.5281306,567.6281126,3.90001807,84090,39925,0,39925,44165,2131,42034
Union County,"Union County, Ohio",50,0,2,3,39159,39,159,31969,437.0051135,436.6796294,0.325484134,31969,9665,9,9656,22304,2545,19759
Van Wert County,"Van Wert County, Ohio",50,0,2,3,39161,39,161,30464,410.5123267,410.1123248,0.400001853,30464,14081,0,14081,16383,2664,13719
Vinton County,"Vinton County, Ohio",50,0,2,3,39163,39,163,11098,414.9903397,414.1104129,0.879926857,11098,0,0,0,11098,320,10778
Warren County,"Warren County, Ohio",50,0,2,3,39165,39,165,113909,407.1435852,399.8779145,7.265670729,113909,72018,58869,13149,41891,2022,39869
Washington County,"Washington County, Ohio",50,0,2,3,39167,39,167,62254,640.1879082,635.2461865,4.941721738,62254,24598,6836,17762,37656,1656,36000
Wayne County,"Wayne County, Ohio",50,0,2,3,39169,39,169,101461,556.3454348,555.4021872,0.943247614,101461,38754,2814,35940,62707,5848,56859
Williams County,"Williams County, Ohio",50,0,2,3,39171,39,171,36956,423.0807247,421.7965489,1.284175834,36956,12647,0,12647,24309,2756,21553
Wood County,"Wood County, Ohio",50,0,2,3,39173,39,173,113269,620.5870452,617.3831693,3.203875848,113269,71912,39553,32359,41357,3374,37983
Wyandot County,"Wyandot County, Ohio",50,0,2,3,39175,39,175,22254,407.6497652,405.6412617,2.008503514,22254,9590,0,9590,12664,2306,10358
