Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T002_004,SE_T002_005,SE_T004_001,SE_T004_002,SE_T004_003
Adams County,"Adams County, Ohio",1512317799,4861811,50,0,2,3,39001,39,1,27330,27330,2774,0,2774,24556,585.7864,583.9092,1.877156
Allen County,"Allen County, Ohio",1047458373,6361068,50,0,2,3,39003,39,3,108473,108473,79598,71951,7647,28875,406.882,404.426,2.456022
Ashland County,"Ashland County, Ohio",1099122222,6404452,50,0,2,3,39005,39,5,52523,52523,24136,0,24136,28387,426.8462,424.3735,2.472773
Ashtabula County,"Ashtabula County, Ohio",1819309925,1725002864,50,0,2,3,39007,39,7,102728,102728,55900,0,55900,46828,1368.467,702.4395,666.0273
Athens County,"Athens County, Ohio",1312495866,4612341,50,0,2,3,39009,39,9,62223,62223,36873,0,36873,25350,508.5384,506.7575,1.780835
Auglaize County,"Auglaize County, Ohio",1039240345,1207783,50,0,2,3,39011,39,11,46611,46611,27508,2120,25388,19103,401.7193,401.253,0.4663276
Belmont County,"Belmont County, Ohio",1391730663,10461588,50,0,2,3,39013,39,13,70226,70226,36881,29297,7584,33345,541.3895,537.3502,4.039242
Brown County,"Brown County, Ohio",1273649365,8954523,50,0,2,3,39015,39,15,42285,42285,8116,0,8116,34169,495.2162,491.7588,3.457361
Butler County,"Butler County, Ohio",1210222805,7591130,50,0,2,3,39017,39,17,332807,332807,294608,272654,21954,38199,470.2006,467.2697,2.930952
Carroll County,"Carroll County, Ohio",1022198582,11226074,50,0,2,3,39019,39,19,28836,28836,8820,0,8820,20016,399.0075,394.6731,4.334412
Champaign County,"Champaign County, Ohio",1109965084,2968952,50,0,2,3,39021,39,21,38890,38890,11675,0,11675,27215,429.7062,428.5599,1.146319
Clark County,"Clark County, Ohio",1035626909,9590401,50,0,2,3,39023,39,23,144742,144742,110845,104981,5864,33897,403.5607,399.8578,3.702875
Clermont County,"Clermont County, Ohio",1170649890,14714135,50,0,2,3,39025,39,25,177977,177977,127103,123870,3233,50874,457.6716,451.9904,5.681159
Clinton County,"Clinton County, Ohio",1064172782,3640434,50,0,2,3,39027,39,27,40543,40543,18278,0,18278,22265,412.285,410.8794,1.405579
Columbiana County,"Columbiana County, Ohio",1379056109,7063084,50,0,2,3,39029,39,29,112075,112075,63946,0,63946,48129,535.1837,532.4565,2.727072
Coshocton County,"Coshocton County, Ohio",1460933355,9079741,50,0,2,3,39031,39,31,36655,36655,14992,0,14992,21663,567.5753,564.0696,3.505708
Crawford County,"Crawford County, Ohio",1041469969,1856647,50,0,2,3,39033,39,33,46966,46966,30917,0,30917,16049,402.8307,402.1138,0.7168555
Cuyahoga County,"Cuyahoga County, Ohio",1187481481,2038501172,50,0,2,3,39035,39,35,1393978,1393978,1383400,1383400,0,10578,1245.559,458.4892,787.0697
Darke County,"Darke County, Ohio",1553469702,1267498,50,0,2,3,39037,39,37,53309,53309,18268,0,18268,35041,600.2874,599.798,0.4893837
Defiance County,"Defiance County, Ohio",1064895060,7841076,50,0,2,3,39039,39,39,39500,39500,20812,0,20812,18688,414.1858,411.1583,3.027457
Delaware County,"Delaware County, Ohio",1145836755,35132618,50,0,2,3,39041,39,41,109989,109989,74712,45360,29352,35277,455.9749,442.4101,13.56478
Erie County,"Erie County, Ohio",660128061,961582540,50,0,2,3,39043,39,43,79551,79551,58651,57293,1358,20900,626.146,254.8769,371.2691
Fairfield County,"Fairfield County, Ohio",1308230532,9029027,50,0,2,3,39045,39,45,122759,122759,74875,32546,42329,47884,508.5968,505.1107,3.486127
Fayette County,"Fayette County, Ohio",1053041585,1285958,50,0,2,3,39047,39,47,28433,28433,14671,0,14671,13762,407.0782,406.5817,0.4965112
Franklin County,"Franklin County, Ohio",1398253363,8948123,50,0,2,3,39049,39,49,1068978,1068978,1049003,1046416,2587,19975,543.3235,539.8687,3.45489
Fulton County,"Fulton County, Ohio",1053563817,1394487,50,0,2,3,39051,39,51,42084,42084,18132,0,18132,23952,407.3217,406.7833,0.5384145
Gallia County,"Gallia County, Ohio",1214127014,6106726,50,0,2,3,39053,39,53,31069,31069,7151,0,7151,23918,471.1349,468.7771,2.35782
Geauga County,"Geauga County, Ohio",1045462752,11994653,50,0,2,3,39055,39,55,90895,90895,33101,19485,13616,57794,408.2866,403.6555,4.631162
Greene County,"Greene County, Ohio",1074530342,3457736,50,0,2,3,39057,39,57,147886,147886,123323,111610,11713,24563,416.2135,414.8785,1.335039
Guernsey County,"Guernsey County, Ohio",1351725701,16547247,50,0,2,3,39059,39,59,40792,40792,16609,0,16609,24183,528.2932,521.9042,6.388928
Hamilton County,"Hamilton County, Ohio",1055069826,14034460,50,0,2,3,39061,39,61,845303,845303,824942,824942,0,20361,412.7835,407.3647,5.418736
Hancock County,"Hancock County, Ohio",1376201924,5805506,50,0,2,3,39063,39,63,71295,71295,48466,0,48466,22829,533.5961,531.3546,2.241518
Hardin County,"Hardin County, Ohio",1218047002,635209,50,0,2,3,39065,39,65,31945,31945,14595,0,14595,17350,470.5358,470.2906,0.2452556
Harrison County,"Harrison County, Ohio",1045128556,18814140,50,0,2,3,39067,39,67,15856,15856,2850,0,2850,13006,410.7906,403.5264,7.26418
Henry County,"Henry County, Ohio",1078737284,8999047,50,0,2,3,39069,39,69,29210,29210,9210,0,9210,20000,419.9774,416.5028,3.474552
Highland County,"Highland County, Ohio",1432988964,11810490,50,0,2,3,39071,39,71,40875,40875,11725,0,11725,29150,557.8402,553.2802,4.560056
Hocking County,"Hocking County, Ohio",1094911224,2208517,50,0,2,3,39073,39,73,28241,28241,8693,0,8693,19548,423.6003,422.7476,0.8527132
Holmes County,"Holmes County, Ohio",1095543815,2662237,50,0,2,3,39075,39,75,38943,38943,3202,0,3202,35741,424.0197,422.9919,1.027895
Huron County,"Huron County, Ohio",1276059942,4728435,50,0,2,3,39077,39,77,59487,59487,31886,0,31886,27601,494.5152,492.6895,1.825659
Jackson County,"Jackson County, Ohio",1088518118,3160265,50,0,2,3,39079,39,79,32641,32641,12523,0,12523,20118,421.4994,420.2792,1.220185
Jefferson County,"Jefferson County, Ohio",1060880028,3278364,50,0,2,3,39081,39,81,73894,73894,44382,44382,0,29512,410.8739,409.6081,1.265783
Knox County,"Knox County, Ohio",1365242700,6240925,50,0,2,3,39083,39,83,54500,54500,22534,0,22534,31966,529.5328,527.1232,2.409635
Lake County,"Lake County, Ohio",591065088,1944184300,50,0,2,3,39085,39,85,227511,227511,209532,209532,0,17979,978.8653,228.2115,750.6538
Lawrence County,"Lawrence County, Ohio",1178335424,6006010,50,0,2,3,39087,39,87,62319,62319,32681,32681,0,29638,457.2768,454.9579,2.318933
Licking County,"Licking County, Ohio",1778039109,4859065,50,0,2,3,39089,39,89,145491,145491,89442,78752,10690,56049,688.3809,686.5048,1.876096
Logan County,"Logan County, Ohio",1187351180,21613049,50,0,2,3,39091,39,91,46005,46005,20598,0,20598,25407,466.7837,458.4389,8.344845
Lorain County,"Lorain County, Ohio",1275569838,1115047238,50,0,2,3,39093,39,93,284664,284664,238110,233976,4134,46554,923.0225,492.5003,430.5222
Lucas County,"Lucas County, Ohio",881799074,661532330,50,0,2,3,39095,39,95,455054,455054,429836,426797,3039,25218,595.8836,340.4645,255.4191
Madison County,"Madison County, Ohio",1205479004,1913949,50,0,2,3,39097,39,97,40213,40213,20810,95,20715,19403,466.1771,465.4381,0.7389799
Mahoning County,"Mahoning County, Ohio",1075483825,21072445,50,0,2,3,39099,39,99,257555,257555,220521,212140,8381,37034,423.3828,415.2466,8.136116
Marion County,"Marion County, Ohio",1045946872,786548,50,0,2,3,39101,39,101,66217,66217,45645,0,45645,20572,404.1461,403.8424,0.3036879
Medina County,"Medina County, Ohio",1091805363,4053499,50,0,2,3,39103,39,103,151095,151095,99663,58951,40712,51432,423.1135,421.5484,1.565065
Meigs County,"Meigs County, Ohio",1112199414,7653198,50,0,2,3,39105,39,105,23072,23072,4865,0,4865,18207,432.3775,429.4226,2.954916
Mercer County,"Mercer County, Ohio",1199851841,25974609,50,0,2,3,39107,39,107,40924,40924,16143,0,16143,24781,473.2943,463.2654,10.02885
Miami County,"Miami County, Ohio",1054232617,5642062,50,0,2,3,39109,39,109,98868,98868,67073,43187,23886,31795,409.2199,407.0415,2.178412
Monroe County,"Monroe County, Ohio",1179847563,4964915,50,0,2,3,39111,39,111,15180,15180,340,0,340,14840,457.4587,455.5417,1.916965
Montgomery County,"Montgomery County, Ohio",1195735149,6910116,50,0,2,3,39113,39,113,559062,559062,533559,523450,10109,25503,464.344,461.6759,2.668011
Morgan County,"Morgan County, Ohio",1081743425,10867804,50,0,2,3,39115,39,115,14897,14897,2706,0,2706,12191,421.8596,417.6635,4.196083
Morrow County,"Morrow County, Ohio",1052112998,2935743,50,0,2,3,39117,39,117,31628,31628,3452,0,3452,28176,407.3566,406.2231,1.133497
Muskingum County,"Muskingum County, Ohio",1721372758,20632271,50,0,2,3,39119,39,119,84585,84585,45244,0,45244,39341,672.5919,664.6258,7.966165
Noble County,"Noble County, Ohio",1033405451,14466106,50,0,2,3,39121,39,121,14058,14058,4923,0,4923,9135,404.5855,399.0001,5.585395
Ottawa County,"Ottawa County, Ohio",660325431,855130451,50,0,2,3,39123,39,123,40985,40985,19143,1871,17272,21842,585.1208,254.9531,330.1677
Paulding County,"Paulding County, Ohio",1078111563,6830361,50,0,2,3,39125,39,125,20293,20293,3455,0,3455,16838,418.8985,416.2612,2.637217
Perry County,"Perry County, Ohio",1061317388,7292726,50,0,2,3,39127,39,127,34078,34078,8908,0,8908,25170,412.5927,409.7769,2.815737
Pickaway County,"Pickaway County, Ohio",1299942718,12639406,50,0,2,3,39129,39,129,52727,52727,28794,0,28794,23933,506.7908,501.9107,4.880102
Pike County,"Pike County, Ohio",1143444613,6361461,50,0,2,3,39131,39,131,27695,27695,5267,0,5267,22428,443.9426,441.4865,2.456174
Portage County,"Portage County, Ohio",1275283374,38117647,50,0,2,3,39133,39,133,152061,152061,89414,86300,3114,62647,507.107,492.3897,14.71731
Preble County,"Preble County, Ohio",1100239413,3940231,50,0,2,3,39135,39,135,42337,42337,7873,0,7873,34464,426.3261,424.8048,1.521332
Putnam County,"Putnam County, Ohio",1253204949,941357,50,0,2,3,39137,39,137,34726,34726,5275,0,5275,29451,484.2286,483.8652,0.36346
Richland County,"Richland County, Ohio",1286904043,8937838,50,0,2,3,39139,39,139,128852,128852,90761,79698,11063,38091,500.3274,496.8765,3.450919
Ross County,"Ross County, Ohio",1782985342,11774268,50,0,2,3,39141,39,141,73345,73345,30594,0,30594,42751,692.9606,688.4145,4.546071
Sandusky County,"Sandusky County, Ohio",1059759326,22254968,50,0,2,3,39143,39,143,61792,61792,36074,0,36074,25718,417.7681,409.1754,8.592691
Scioto County,"Scioto County, Ohio",1585763831,9853094,50,0,2,3,39145,39,145,79195,79195,39318,0,39318,39877,616.0712,612.2668,3.804301
Seneca County,"Seneca County, Ohio",1426015186,4612806,50,0,2,3,39147,39,147,58683,58683,31844,0,31844,26839,552.3686,550.5876,1.781014
Shelby County,"Shelby County, Ohio",1060010524,4554664,50,0,2,3,39149,39,149,47910,47910,20437,0,20437,27473,411.0309,409.2724,1.758566
Stark County,"Stark County, Ohio",1492185919,12362336,50,0,2,3,39151,39,151,378098,378098,326288,293194,33094,51810,580.9093,576.1362,4.773125
Summit County,"Summit County, Ohio",1068948386,19005659,50,0,2,3,39153,39,153,542899,542899,519811,519811,0,23088,420.0614,412.7233,7.338127
Trumbull County,"Trumbull County, Ohio",1596670952,47242586,50,0,2,3,39155,39,155,225116,225116,165282,165282,0,59834,634.7186,616.4781,18.24047
Tuscarawas County,"Tuscarawas County, Ohio",1470013624,10121859,50,0,2,3,39157,39,157,90914,90914,52826,0,52826,38088,571.4835,567.5754,3.908072
Union County,"Union County, Ohio",1130922131,843490,50,0,2,3,39159,39,159,40909,40909,16354,25,16329,24555,436.9772,436.6515,0.3256733
Van Wert County,"Van Wert County, Ohio",1062121043,1035182,50,0,2,3,39161,39,161,29659,29659,14366,0,14366,15293,410.4869,410.0872,0.399686
Vinton County,"Vinton County, Ohio",1072462963,2279268,50,0,2,3,39163,39,163,12806,12806,876,0,876,11930,414.9603,414.0803,0.8800303
Warren County,"Warren County, Ohio",1035028467,19456400,50,0,2,3,39165,39,165,158383,158383,122537,101178,21359,35846,407.1389,399.6267,7.512158
Washington County,"Washington County, Ohio",1645018027,12959172,50,0,2,3,39167,39,167,63251,63251,22279,21357,922,40972,640.1486,635.145,5.003564
Wayne County,"Wayne County, Ohio",1438365058,2479642,50,0,2,3,39169,39,169,111564,111564,53742,5921,47821,57822,556.3133,555.3559,0.9573952
Williams County,"Williams County, Ohio",1092301225,3400685,50,0,2,3,39171,39,171,39188,39188,13150,0,13150,26038,423.0529,421.7399,1.313012
Wood County,"Wood County, Ohio",1598850927,8345571,50,0,2,3,39173,39,173,121065,121065,81787,46788,34999,39278,620.5421,617.3198,3.222243
Wyandot County,"Wyandot County, Ohio",1050532416,5204917,50,0,2,3,39175,39,175,22908,22908,10045,0,10045,12863,407.6225,405.6129,2.00963
