Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,Geo_SUMLEV,Geo_GEOCOMP,Geo_REGION,Geo_DIVISION,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_T02A_001,SE_T02A_002,SE_T02A_003
Adams County,"Adams County, Ohio",1512208946,6165954,50,0,2,3,39001,39,1,28550,586.2478,583.8671,2.380688
Allen County,"Allen County, Ohio",1042458893,11275149,50,0,2,3,39003,39,3,106331,406.849,402.4956,4.35336
Ashland County,"Ashland County, Ohio",1095434931,9969455,50,0,2,3,39005,39,5,53139,426.799,422.9498,3.849228
Ashtabula County,"Ashtabula County, Ohio",1817993244,1724857052,50,0,2,3,39007,39,7,101497,1367.902,701.9312,665.9711
Athens County,"Athens County, Ohio",1304313482,12542538,50,0,2,3,39009,39,9,64757,508.441,503.5983,4.842701
Auglaize County,"Auglaize County, Ohio",1039585234,1345187,50,0,2,3,39011,39,11,45949,401.9055,401.3861,0.5193796
Belmont County,"Belmont County, Ohio",1378206525,23685679,50,0,2,3,39013,39,13,70400,541.2736,532.1285,9.145093
Brown County,"Brown County, Ohio",1269135535,8898059,50,0,2,3,39015,39,15,44846,493.4515,490.016,3.43556
Butler County,"Butler County, Ohio",1209668470,7968185,50,0,2,3,39017,39,17,368130,470.1322,467.0556,3.076534
Carroll County,"Carroll County, Ohio",1022032078,11192671,50,0,2,3,39019,39,19,28836,398.9303,394.6088,4.321515
Champaign County,"Champaign County, Ohio",1110247425,3015688,50,0,2,3,39021,39,21,40097,429.8333,428.6689,1.164364
Clark County,"Clark County, Ohio",1029450254,13089442,50,0,2,3,39023,39,23,138333,402.5268,397.473,5.053862
Clermont County,"Clermont County, Ohio",1170933540,19855695,50,0,2,3,39025,39,25,197363,459.7663,452.1,7.666327
Clinton County,"Clinton County, Ohio",1058487805,9351104,50,0,2,3,39027,39,27,42040,412.2949,408.6844,3.610482
Columbiana County,"Columbiana County, Ohio",1377597314,7239848,50,0,2,3,39029,39,29,107841,534.6887,531.8933,2.795321
Coshocton County,"Coshocton County, Ohio",1460529028,9244955,50,0,2,3,39031,39,31,36901,567.4829,563.9135,3.569497
Crawford County,"Crawford County, Ohio",1040620962,2359241,50,0,2,3,39033,39,33,43784,402.6969,401.786,0.9109081
Cuyahoga County,"Cuyahoga County, Ohio",1184118946,2041935958,50,0,2,3,39035,39,35,1280122,1245.587,457.1909,788.3959
Darke County,"Darke County, Ohio",1549072326,4291078,50,0,2,3,39037,39,37,52959,599.757,598.1002,1.656795
Defiance County,"Defiance County, Ohio",1065675702,7069453,50,0,2,3,39039,39,39,39037,414.1892,411.4597,2.729531
Delaware County,"Delaware County, Ohio",1147617685,36859321,50,0,2,3,39041,39,41,174214,457.3291,443.0977,14.23146
Erie County,"Erie County, Ohio",651531963,969767280,50,0,2,3,39043,39,43,77079,625.9872,251.5579,374.4293
Fairfield County,"Fairfield County, Ohio",1306418559,10749604,50,0,2,3,39045,39,45,146156,508.5615,504.411,4.150445
Fayette County,"Fayette County, Ohio",1052458662,1705305,50,0,2,3,39047,39,47,29030,407.015,406.3566,0.658422
Franklin County,"Franklin County, Ohio",1378361040,29318642,50,0,2,3,39049,39,49,1163414,543.5082,532.1882,11.31999
Fulton County,"Fulton County, Ohio",1050091407,4621143,50,0,2,3,39051,39,51,42698,407.2268,405.4426,1.784233
Gallia County,"Gallia County, Ohio",1208307512,12085419,50,0,2,3,39053,39,53,30934,471.1964,466.5302,4.666206
Geauga County,"Geauga County, Ohio",1036420180,21054534,50,0,2,3,39055,39,55,93389,408.2933,400.1641,8.129201
Greene County,"Greene County, Ohio",1071554325,6542481,50,0,2,3,39057,39,57,161573,416.2555,413.7295,2.526066
Guernsey County,"Guernsey County, Ohio",1352631007,15666026,50,0,2,3,39059,39,59,40087,528.3025,522.2538,6.048687
Hamilton County,"Hamilton County, Ohio",1051302780,17407186,50,0,2,3,39061,39,61,802374,412.6313,405.9103,6.720953
Hancock County,"Hancock County, Ohio",1376210257,5959835,50,0,2,3,39063,39,63,74782,533.6589,531.3578,2.301105
Hardin County,"Hardin County, Ohio",1218342731,629922,50,0,2,3,39065,39,65,32058,470.648,470.4048,0.2432142
Harrison County,"Harrison County, Ohio",1042052713,21829291,50,0,2,3,39067,39,67,15864,410.7672,402.3388,8.428337
Henry County,"Henry County, Ohio",1077461447,9687602,50,0,2,3,39069,39,69,28215,419.7506,416.0102,3.740404
Highland County,"Highland County, Ohio",1432479939,12195011,50,0,2,3,39071,39,71,43589,557.7922,553.0836,4.70852
Hocking County,"Hocking County, Ohio",1091222019,5969586,50,0,2,3,39073,39,73,29380,423.6281,421.3232,2.30487
Holmes County,"Holmes County, Ohio",1094355785,3745395,50,0,2,3,39075,39,75,42366,423.9793,422.5332,1.446105
Huron County,"Huron County, Ohio",1272965600,8615850,50,0,2,3,39077,39,77,59626,494.8214,491.4948,3.326598
Jackson County,"Jackson County, Ohio",1088582018,3184785,50,0,2,3,39079,39,79,33225,421.5335,420.3039,1.229652
Jefferson County,"Jefferson County, Ohio",1057566189,6796784,50,0,2,3,39081,39,81,69709,410.9529,408.3286,2.624253
Knox County,"Knox County, Ohio",1361024108,10719185,50,0,2,3,39083,39,83,60921,529.6331,525.4944,4.1387
Lake County,"Lake County, Ohio",589203623,1946906118,50,0,2,3,39085,39,85,230041,979.1975,227.4928,751.7047
Lawrence County,"Lawrence County, Ohio",1174224238,10110468,50,0,2,3,39087,39,87,62450,457.2742,453.3705,3.903674
Licking County,"Licking County, Ohio",1767667183,12927054,50,0,2,3,39089,39,89,166492,687.4913,682.5001,4.991164
Logan County,"Logan County, Ohio",1187326601,21608810,50,0,2,3,39091,39,91,45858,466.7726,458.4294,8.343208
Lorain County,"Lorain County, Ohio",1271946706,1119471339,50,0,2,3,39093,39,93,301356,923.3317,491.1014,432.2303
Lucas County,"Lucas County, Ohio",882810658,660502949,50,0,2,3,39095,39,95,441815,595.8768,340.8551,255.0216
Madison County,"Madison County, Ohio",1206610780,1954541,50,0,2,3,39097,39,97,43435,466.6297,465.8751,0.7546526
Mahoning County,"Mahoning County, Ohio",1066098928,35386274,50,0,2,3,39099,39,99,238823,425.2858,411.6231,13.66272
Marion County,"Marion County, Ohio",1045726869,908586,50,0,2,3,39101,39,101,66501,404.1082,403.7574,0.350807
Medina County,"Medina County, Ohio",1091310901,4294303,50,0,2,3,39103,39,103,172332,423.0155,421.3575,1.65804
Meigs County,"Meigs County, Ohio",1113949889,7519799,50,0,2,3,39105,39,105,23770,433.0019,430.0985,2.903411
Mercer County,"Mercer County, Ohio",1197736887,28427397,50,0,2,3,39107,39,107,40814,473.4247,462.4488,10.97588
Miami County,"Miami County, Ohio",1053037884,7966574,50,0,2,3,39109,39,109,102506,409.6561,406.5802,3.075912
Monroe County,"Monroe County, Ohio",1180312425,4498230,50,0,2,3,39111,39,111,14642,457.458,455.7212,1.736776
Montgomery County,"Montgomery County, Ohio",1195417263,7204078,50,0,2,3,39113,39,113,535153,464.3347,461.5532,2.78151
Morgan County,"Morgan County, Ohio",1078531138,13882026,50,0,2,3,39115,39,115,15054,421.7831,416.4232,5.35988
Morrow County,"Morrow County, Ohio",1051738690,2959338,50,0,2,3,39117,39,117,34827,407.2212,406.0786,1.142607
Muskingum County,"Muskingum County, Ohio",1721250930,20731394,50,0,2,3,39119,39,119,86074,672.5832,664.5787,8.004436
Noble County,"Noble County, Ohio",1030846973,16986236,50,0,2,3,39121,39,121,14645,404.5707,398.0123,6.558423
Ottawa County,"Ottawa County, Ohio",660231276,855075189,50,0,2,3,39123,39,123,41428,585.0631,254.9167,330.1464
Paulding County,"Paulding County, Ohio",1078568733,6240863,50,0,2,3,39125,39,125,19614,418.8473,416.4377,2.409611
Perry County,"Perry County, Ohio",1056641254,11695036,50,0,2,3,39127,39,127,36058,412.487,407.9715,4.515479
Pickaway County,"Pickaway County, Ohio",1298414026,13551313,50,0,2,3,39129,39,129,55698,506.5527,501.3205,5.232192
Pike County,"Pike County, Ohio",1140324043,9568074,50,0,2,3,39131,39,131,28709,443.9759,440.2816,3.694254
Portage County,"Portage County, Ohio",1262311075,43207960,50,0,2,3,39133,39,133,161419,504.0637,487.381,16.68269
Preble County,"Preble County, Ohio",1098465120,6065406,50,0,2,3,39135,39,135,42270,426.4616,424.1198,2.341866
Putnam County,"Putnam County, Ohio",1249725444,4605035,50,0,2,3,39137,39,137,34499,484.2997,482.5217,1.778014
Richland County,"Richland County, Ohio",1282739691,12454453,50,0,2,3,39139,39,139,124475,500.0773,495.2686,4.808692
Ross County,"Ross County, Ohio",1784988075,9937459,50,0,2,3,39141,39,141,78064,693.0247,689.1877,3.836874
Sandusky County,"Sandusky County, Ohio",1057888420,23968158,50,0,2,3,39143,39,143,60944,417.7072,408.453,9.254158
Scioto County,"Scioto County, Ohio",1580445008,15370337,50,0,2,3,39145,39,145,79499,616.1478,610.2133,5.934521
Seneca County,"Seneca County, Ohio",1427127830,4600437,50,0,2,3,39147,39,147,56745,552.7934,551.0172,1.776239
Shelby County,"Shelby County, Ohio",1055874043,7814034,50,0,2,3,39149,39,149,49423,410.6923,407.6753,3.017015
Stark County,"Stark County, Ohio",1489943930,13628090,50,0,2,3,39151,39,151,375586,580.5324,575.2706,5.261835
Summit County,"Summit County, Ohio",1069012672,18926101,50,0,2,3,39153,39,153,541781,420.0555,412.7481,7.307408
Trumbull County,"Trumbull County, Ohio",1601380581,47321209,50,0,2,3,39155,39,155,210312,636.5674,618.2965,18.27082
Tuscarawas County,"Tuscarawas County, Ohio",1470169796,9880933,50,0,2,3,39157,39,157,92582,571.4508,567.6358,3.81505
Union County,"Union County, Ohio",1118175978,13317479,50,0,2,3,39159,39,159,52300,436.8721,431.7302,5.141908
Van Wert County,"Van Wert County, Ohio",1059715168,3281854,50,0,2,3,39161,39,161,28744,410.4255,409.1584,1.267131
Vinton County,"Vinton County, Ohio",1068008560,6781295,50,0,2,3,39163,39,163,13435,414.9787,412.3604,2.618273
Warren County,"Warren County, Ohio",1039398003,15537776,50,0,2,3,39165,39,165,212693,407.313,401.3138,5.999169
Washington County,"Washington County, Ohio",1636799113,20785159,50,0,2,3,39167,39,167,61778,639.9969,631.9717,8.025195
Wayne County,"Wayne County, Ohio",1437258280,4889717,50,0,2,3,39169,39,169,114520,556.8165,554.9285,1.88793
Williams County,"Williams County, Ohio",1090295507,5507072,50,0,2,3,39171,39,171,37642,423.0918,420.9655,2.126292
Wood County,"Wood County, Ohio",1598552653,8510057,50,0,2,3,39173,39,173,125488,620.4904,617.2047,3.285752
Wyandot County,"Wyandot County, Ohio",1053775281,1783531,50,0,2,3,39175,39,175,22615,407.5536,406.8649,0.6886252
