Num,Name,Genus,Species,Subspecies,County,Regions,Landscape,Location,GPS,Habitat,ColMethod,Date,Year,Decade,Decade30,Invasion,Museum,Source,Notes
505,Coleomegilla maculata,Coleomegilla,maculata,,Adams,AP,Rural,10 mi E Aberdeen,,,,1-Aug-70,1970,1970,1950-1970,1Pre-invasion,Illinois Natural History Survey,Museum,
721,Harmonia axyridis,Harmonia,axyridis,,Adams,AP,Rural,Winchester,,,,1-Sep-18,2018,2010,2010-2018,4Pquat,OSU ATI,Museum,
862,Hippodamia tredecimpunctata,Hippodamia,tredecimpunctata,,Adams,AP,Rural,West Union,,,,19-Jul-68,1968,1960,1950-1970,1Pre-invasion,Boonshoft Musuem of Discovery,Museum,
863,Hippodamia tredecimpunctata,Hippodamia,tredecimpunctata,,Adams,AP,Rural,West Union,,,,19-Jul-68,1968,1960,1950-1970,1Pre-invasion,Boonshoft Musuem of Discovery,Museum,
1379,Coleomegilla maculata,Coleomegilla,maculata,lengi ,Adams,AP,Rural,"Serpent Mound Historical Site, Peebles, Meigs Twnp.",,,,20-Jul-35,1935,1930,1920-1940,1Pre-invasion,"Michigan State University, A.J. Cook Arthropod Research Collection",Museum,
1558,Hippodamia parenthesis,Hippodamia,parenthesis,,Adams,AP,Rural,Meigs Twnp.,,,,12-Aug-39,1939,1930,1920-1940,1Pre-invasion,"Michigan State University, A.J. Cook Arthropod Research Collection",Museum,
1785,Psyllobora vigintimaculata,Psyllobora,vigintimaculata,,Adams,AP,Rural,Blue Creek,,,,26-Aug-37,1937,1930,1920-1940,1Pre-invasion,"Michigan State University, A.J. Cook Arthropod Research Collection",Museum,
1786,Psyllobora vigintimaculata,Psyllobora,vigintimaculata,,Adams,AP,Rural,Blue Creek,,,,26-Aug-37,1937,1930,1920-1940,1Pre-invasion,"Michigan State University, A.J. Cook Arthropod Research Collection",Museum,
1787,Psyllobora vigintimaculata,Psyllobora,vigintimaculata,,Adams,AP,Rural,Meigs Twnp.,,,,12-Aug-39,1939,1930,1920-1940,1Pre-invasion,"Michigan State University, A.J. Cook Arthropod Research Collection",Museum,
2868,Adalia bipunctata,Adalia,bipunctata,,Adams,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 763872
3083,Coccinella novemnotata,Coccinella,novemnotata,,Adams,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762148
3089,Coccinella novemnotata,Coccinella,novemnotata,,Adams,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762155
3090,Coccinella novemnotata,Coccinella,novemnotata,,Adams,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762156
3119,Coccinella novemnotata,Coccinella,novemnotata,,Adams,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762140
3120,Coccinella novemnotata,Coccinella,novemnotata,,Adams,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762141
3121,Coccinella novemnotata,Coccinella,novemnotata,,Adams,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762142
3122,Coccinella novemnotata,Coccinella,novemnotata,,Adams,AP,Rural,"Adams Co., OH",,,,30-Sep-34,1934,1930,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762144
3125,Coccinella novemnotata,Coccinella,novemnotata,,Adams,AP,Rural,"Adams Co., OH",,,,14-Jul-34,1934,1930,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762204
3195,Coccinella septempunctata,Coccinella,septempunctata,,Adams,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 762300
3400,Coleomegilla maculata,Coleomegilla,maculata,lengi ,Adams,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 548831
3442,Coleomegilla maculata,Coleomegilla,maculata,lengi ,Adams,AP,Rural,"Adams Co., OH",,,,12-Aug-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 548874
3443,Coleomegilla maculata,Coleomegilla,maculata,lengi ,Adams,AP,Rural,"Adams Co., OH",,,,16-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 548875
3450,Coleomegilla maculata,Coleomegilla,maculata,lengi ,Adams,AP,Rural,"Adams Co., OH",,,,16-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 765265
3451,Coleomegilla maculata,Coleomegilla,maculata,lengi ,Adams,AP,Rural,"Adams Co., OH",,,,16-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 765266
3452,Coleomegilla maculata,Coleomegilla,maculata,lengi ,Adams,AP,Rural,"Adams Co., OH",,,,16-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 765267
3453,Coleomegilla maculata,Coleomegilla,maculata,lengi ,Adams,AP,Rural,"Adams Co., OH",,,,12-Aug-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 765268
3454,Coleomegilla maculata,Coleomegilla,maculata,lengi ,Adams,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 765269
3659,Cycloneda munda,Cycloneda,munda,,Adams,AP,Rural,"Adams Co., OH",,,,16-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 763992
3660,Cycloneda munda,Cycloneda,munda,,Adams,AP,Rural,"2mi S Youngsville, Adams Co., OH",,,,15-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 763993
3829,Hippodamia convergens,Hippodamia,convergens,,Adams,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550429
3830,Hippodamia convergens,Hippodamia,convergens,,Adams,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550430
3839,Hippodamia convergens,Hippodamia,convergens,,Adams,AP,Rural,"Adams Co., OH",,,,14-Jul-34,1934,1930,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550465
3840,Hippodamia convergens,Hippodamia,convergens,,Adams,AP,Rural,"Adams Co., OH",,,,14-Jul-34,1934,1930,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550467
3842,Hippodamia convergens,Hippodamia,convergens,,Adams,AP,Rural,"Adams Co., OH",,,,13-Jul-34,1934,1930,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550477
3844,Hippodamia convergens,Hippodamia,convergens,,Adams,AP,Rural,"Adams Co., OH",,,,14-Jul-34,1934,1930,1920-1940,1Pre-invasion,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550480
3912,Hippodamia parenthesis,Hippodamia,parenthesis,,Adams,AP,Rural,"1mi S Beasley Fork, Adams Co., OH",,,,29-Jul-85,1985,1980,1980-2000,2Csept,"Ohio State University, C.A. Triplehorn Insect Collection",Museum,OSUC 550563
