"","Regions","Source","Year","Anatis mali","Brachiacantha ursina","Chilocorus stigma","Coccinella septempunctata","Coleomegilla maculata","Cycloneda munda","Harmonia axyridis","Hippodamia convergens","Hippodamia glacialis","Hippodamia parenthesis","Hippodamia tredecimpunctata","Hippodamia variegata","Hyperaspis undulata","Propylea quatuordecimpunctata","Psyllobora vigintimaculata"
"1","AP","BLBB","2009",0,1,1,1,1,1,1,0,0,1,0,1,1,1,1
"2","AP","BLBB","2010",0,1,0,1,1,1,1,0,0,0,0,0,0,1,1
"3","AP","BLBB","2013",0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
"4","AP","BLBB","2014",0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
"5","AP","Museum","2009",0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
"6","AP","Museum","2010",0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
"7","AP","Museum","2013",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"8","AP","Museum","2014",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9","IOTP","BLBB","2009",0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
"10","IOTP","BLBB","2010",0,1,0,1,1,1,1,0,0,0,0,0,0,1,1
"11","IOTP","BLBB","2013",0,1,0,1,1,1,1,0,0,0,0,0,0,1,1
"12","IOTP","BLBB","2014",0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
"13","IOTP","Museum","2009",0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"14","IOTP","Museum","2010",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"15","IOTP","Museum","2013",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"16","IOTP","Museum","2014",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"17","LEGP","BLBB","2009",0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
"18","LEGP","BLBB","2010",0,1,1,1,1,1,1,0,0,0,0,1,1,1,1
"19","LEGP","BLBB","2013",0,1,0,1,1,0,1,0,0,0,0,0,1,1,1
"20","LEGP","BLBB","2014",0,1,1,0,1,1,1,0,0,0,0,1,1,1,1
"21","LEGP","Museum","2009",0,0,0,1,1,0,1,0,1,0,0,1,0,1,1
"22","LEGP","Museum","2010",0,0,0,1,1,0,1,0,0,1,0,1,0,1,0
"23","LEGP","Museum","2013",1,0,0,1,1,1,1,0,0,1,0,0,0,1,0
"24","LEGP","Museum","2014",0,0,0,1,1,0,1,1,0,0,0,0,0,1,0
"25","WLEB","BLBB","2009",0,1,0,1,1,1,1,0,0,0,0,1,1,1,0
"26","WLEB","BLBB","2010",0,1,1,0,1,1,1,0,0,0,0,0,0,1,1
"27","WLEB","BLBB","2013",0,0,1,1,0,1,1,0,0,1,0,0,0,1,1
"28","WLEB","BLBB","2014",0,1,0,0,1,0,1,0,0,0,0,1,0,1,1
"29","WLEB","Museum","2010",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"30","WLEB","Museum","2013",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"31","WLEB","Museum","2014",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
