"","County","Decade","Num","Name","Genus","Species","Subspecies","Regions","Location","GPS","Habitat","ColMethod","Date","Year","Decade30","Invasion","Museum","Source","Notes","Population","Area","Urban_pop","Density","Prop_urban","COUNTY_CD","OBJECTID","COUNTY_SEA","ODOT_DISTR","FIPS_COUNT","POP_2010","POP_2000","POP_1990","STATE_PLAN","ELEVATION_","ELEVATION1","LAT_NORTH_","LAT_SOUTH_","LONG_EAST_","LONG_WEST_","AREA_SQMI","AREA_ID","created_us","created_da","last_edite","last_edi_1","SHAPE_STAr","SHAPE_STLe","geometry"
"1","Adams",1930,3844,"Hippodamia convergens","Hippodamia","convergens","","AP","Adams Co., OH","","","","14-Jul-34",1934,"1920-1940","1Pre-invasion","Ohio State University, C.A. Triplehorn Insect Collection","Museum","OSUC 550480",20381,585.7856879,0,34.7925878371396,0,"ADA",20,"WEST UNION",9,"39001",28550,27330,25371,"S",1280,480,39.056,38.599,-83.267,-83.706,586.28,2,"Esri_Anonymous",2015-08-11,"Esri_Anonymous",2015-08-11,2506897300.74,223713.018752,c(515603.135033448, 94292.2277194001)
"2","Adams",1930,2868,"Adalia bipunctata","Adalia","bipunctata","","AP","Adams Co., OH","","","","30-Sep-34",1934,"1920-1940","1Pre-invasion","Ohio State University, C.A. Triplehorn Insect Collection","Museum","OSUC 763872",20381,585.7856879,0,34.7925878371396,0,"ADA",20,"WEST UNION",9,"39001",28550,27330,25371,"S",1280,480,39.056,38.599,-83.267,-83.706,586.28,2,"Esri_Anonymous",2015-08-11,"Esri_Anonymous",2015-08-11,2506897300.74,223713.018752,c(515603.135033448, 94292.2277194001)
"3","Adams",1930,4092,"Mulsantina picta","Mulsantina","picta","","AP","Adams Co., OH","","","","30-Sep-34",1934,"1920-1940","1Pre-invasion","Ohio State University, C.A. Triplehorn Insect Collection","Museum","OSUC 761316",20381,585.7856879,0,34.7925878371396,0,"ADA",20,"WEST UNION",9,"39001",28550,27330,25371,"S",1280,480,39.056,38.599,-83.267,-83.706,586.28,2,"Esri_Anonymous",2015-08-11,"Esri_Anonymous",2015-08-11,2506897300.74,223713.018752,c(515603.135033448, 94292.2277194001)
"4","Adams",1930,3090,"Coccinella novemnotata","Coccinella","novemnotata","","AP","Adams Co., OH","","","","30-Sep-34",1934,"1920-1940","1Pre-invasion","Ohio State University, C.A. Triplehorn Insect Collection","Museum","OSUC 762156",20381,585.7856879,0,34.7925878371396,0,"ADA",20,"WEST UNION",9,"39001",28550,27330,25371,"S",1280,480,39.056,38.599,-83.267,-83.706,586.28,2,"Esri_Anonymous",2015-08-11,"Esri_Anonymous",2015-08-11,2506897300.74,223713.018752,c(515603.135033448, 94292.2277194001)
"5","Adams",1930,3120,"Coccinella novemnotata","Coccinella","novemnotata","","AP","Adams Co., OH","","","","30-Sep-34",1934,"1920-1940","1Pre-invasion","Ohio State University, C.A. Triplehorn Insect Collection","Museum","OSUC 762141",20381,585.7856879,0,34.7925878371396,0,"ADA",20,"WEST UNION",9,"39001",28550,27330,25371,"S",1280,480,39.056,38.599,-83.267,-83.706,586.28,2,"Esri_Anonymous",2015-08-11,"Esri_Anonymous",2015-08-11,2506897300.74,223713.018752,c(515603.135033448, 94292.2277194001)
"6","Adams",1930,3089,"Coccinella novemnotata","Coccinella","novemnotata","","AP","Adams Co., OH","","","","30-Sep-34",1934,"1920-1940","1Pre-invasion","Ohio State University, C.A. Triplehorn Insect Collection","Museum","OSUC 762155",20381,585.7856879,0,34.7925878371396,0,"ADA",20,"WEST UNION",9,"39001",28550,27330,25371,"S",1280,480,39.056,38.599,-83.267,-83.706,586.28,2,"Esri_Anonymous",2015-08-11,"Esri_Anonymous",2015-08-11,2506897300.74,223713.018752,c(515603.135033448, 94292.2277194001)
"7","Adams",1930,3839,"Hippodamia convergens","Hippodamia","convergens","","AP","Adams Co., OH","","","","14-Jul-34",1934,"1920-1940","1Pre-invasion","Ohio State University, C.A. Triplehorn Insect Collection","Museum","OSUC 550465",20381,585.7856879,0,34.7925878371396,0,"ADA",20,"WEST UNION",9,"39001",28550,27330,25371,"S",1280,480,39.056,38.599,-83.267,-83.706,586.28,2,"Esri_Anonymous",2015-08-11,"Esri_Anonymous",2015-08-11,2506897300.74,223713.018752,c(515603.135033448, 94292.2277194001)
"8","Adams",1930,3121,"Coccinella novemnotata","Coccinella","novemnotata","","AP","Adams Co., OH","","","","30-Sep-34",1934,"1920-1940","1Pre-invasion","Ohio State University, C.A. Triplehorn Insect Collection","Museum","OSUC 762142",20381,585.7856879,0,34.7925878371396,0,"ADA",20,"WEST UNION",9,"39001",28550,27330,25371,"S",1280,480,39.056,38.599,-83.267,-83.706,586.28,2,"Esri_Anonymous",2015-08-11,"Esri_Anonymous",2015-08-11,2506897300.74,223713.018752,c(515603.135033448, 94292.2277194001)
"9","Adams",1930,1786,"Psyllobora vigintimaculata","Psyllobora","vigintimaculata","","AP","Blue Creek","","","","26-Aug-37",1937,"1920-1940","1Pre-invasion","Michigan State University, A.J. Cook Arthropod Research Collection","Museum","",20381,585.7856879,0,34.7925878371396,0,"ADA",20,"WEST UNION",9,"39001",28550,27330,25371,"S",1280,480,39.056,38.599,-83.267,-83.706,586.28,2,"Esri_Anonymous",2015-08-11,"Esri_Anonymous",2015-08-11,2506897300.74,223713.018752,c(515603.135033448, 94292.2277194001)
"10","Adams",1930,3842,"Hippodamia convergens","Hippodamia","convergens","","AP","Adams Co., OH","","","","13-Jul-34",1934,"1920-1940","1Pre-invasion","Ohio State University, C.A. Triplehorn Insect Collection","Museum","OSUC 550477",20381,585.7856879,0,34.7925878371396,0,"ADA",20,"WEST UNION",9,"39001",28550,27330,25371,"S",1280,480,39.056,38.599,-83.267,-83.706,586.28,2,"Esri_Anonymous",2015-08-11,"Esri_Anonymous",2015-08-11,2506897300.74,223713.018752,c(515603.135033448, 94292.2277194001)
"11","Adams",1930,1558,"Hippodamia parenthesis","Hippodamia","parenthesis","","AP","Meigs Twnp.","","","","12-Aug-39",1939,"1920-1940","1Pre-invasion","Michigan State University, A.J. Cook Arthropod Research Collection","Museum","",20381,585.7856879,0,34.7925878371396,0,"ADA",20,"WEST UNION",9,"39001",28550,27330,25371,"S",1280,480,39.056,38.599,-83.267,-83.706,586.28,2,"Esri_Anonymous",2015-08-11,"Esri_Anonymous",2015-08-11,2506897300.74,223713.018752,c(515603.135033448, 94292.2277194001)
