id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
3798583,CAS,ENT,,PreservedSpecimen,940e5bba-9163-4c9d-8106-d644c370f575,8427550,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Anatis labiculata",141722,"(Say, 1824)",Anatis,labiculata,,,,,,,,,,"J. N. Knull",,,,1934-10-00,1934,10,,,,10-34,"F. T. Scott Collection 1978 Gift to CAS",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-11 09:49:57",,3,urn:uuid:940e5bba-9163-4c9d-8106-d644c370f575,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798583
3798584,CAS,ENT,,PreservedSpecimen,33b1e282-119f-4f43-ba2b-36f2cfb8cc33,8427551,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Anatis labiculata",141722,"(Say, 1824)",Anatis,labiculata,,,,,,,,,,"J. N. Knull",,,,1934-10-00,1934,10,,,,10-34,"F. T. Scott Collection 1978 Gift to CAS",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-11 09:59:05",,3,urn:uuid:33b1e282-119f-4f43-ba2b-36f2cfb8cc33,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798584
3798585,CAS,ENT,,PreservedSpecimen,b8cfe0e8-d6b4-4486-b508-ef86a7816571,8427552,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Adalia bipunctata",138297,"(Linnaeus, 1758)",Adalia,bipunctata,,,"A. J. Basinger",,,,,,,"A. J. Basinger",,,,1916-05-30,1916,5,30,151,,5/30/1916,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Franklin,,Columbus,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-11 10:39:53",,3,urn:uuid:b8cfe0e8-d6b4-4486-b508-ef86a7816571,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798585
3798586,CAS,ENT,,PreservedSpecimen,baf51ca6-bd28-4494-a1cb-2a81883293fd,8427553,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Adalia bipunctata",138297,"(Linnaeus, 1758)",Adalia,bipunctata,,,"A. J. Basinger",,,,,,,"A. J. Basinger",,,,1916-00-00,1916,,,,,1916,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Franklin,,Columbus,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-11 10:44:16",,3,urn:uuid:baf51ca6-bd28-4494-a1cb-2a81883293fd,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798586
3798587,CAS,ENT,,PreservedSpecimen,891752bd-6251-44fe-b4d6-6d415da14333,8427554,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Adalia bipunctata",138297,"(Linnaeus, 1758)",Adalia,bipunctata,,,,,,,,,,,,,,1916-05-01,1916,5,1,122,,"May 1, 1916","Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Franklin,,Columbus,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-11 10:48:23",,3,urn:uuid:891752bd-6251-44fe-b4d6-6d415da14333,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798587
3798588,CAS,ENT,,PreservedSpecimen,b5293da6-cca1-4113-8a0c-81017a776fd5,8427555,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia glacialis glacialis",155436,"(Fabricius, 1775)",Hippodamia,glacialis,,glacialis,,,,,,,,,,,,0000-00-00,1916,5,1,122,,,"Schaeffer Collection/F. T. Scott Collection 1978 Gift to CAS",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,,,Columbus,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-11 11:42:16",,3,urn:uuid:b5293da6-cca1-4113-8a0c-81017a776fd5,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798588
3798589,CAS,ENT,,PreservedSpecimen,a74ceadf-05db-41a4-a492-a645ba00b24b,8427556,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia convergens",138292,"Guérin-Méneville, 1842",Hippodamia,convergens,,,"W. C. Stehr",1932-04-07,,,,,,"W. C. Stehr",,,,1932-04-07,1932,4,7,98,,4-7-1932,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,,Athens,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-11 12:24:02",,3,urn:uuid:a74ceadf-05db-41a4-a492-a645ba00b24b,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798589
3798590,CAS,ENT,,PreservedSpecimen,aeb0234d-860d-4f9b-b493-7fa2d0efcf70,8427557,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia convergens",138292,"Guérin-Méneville, 1842",Hippodamia,convergens,,,"W. C. Stehr",6-8-1932,,,,,,"W. C. Stehr",,,,1932-06-08,1932,6,8,160,,6-8-1932,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,,Athens,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-11 12:26:58",,3,urn:uuid:aeb0234d-860d-4f9b-b493-7fa2d0efcf70,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798590
3798591,CAS,ENT,,PreservedSpecimen,de2203c7-5f61-4dd0-9c91-dd88a3e425ba,8427558,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia convergens",138292,"Guérin-Méneville, 1842",Hippodamia,convergens,,,"W. C. Stehr",4-7-1932,,,,,,"W. C. Stehr",,,,1932-04-07,1932,4,7,98,,4-7-1932,,,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,,Athens,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-11 12:29:24",,3,urn:uuid:de2203c7-5f61-4dd0-9c91-dd88a3e425ba,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798591
3798592,CAS,ENT,,PreservedSpecimen,07d52e59-e41c-45ce-bd78-12b06d5d9c6a,8427559,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia convergens",138292,"Guérin-Méneville, 1842",Hippodamia,convergens,,,"W. C. Stehr",5-15-1931,,,,,,"W. C. Stehr",,,,1931-05-15,1931,5,15,135,,5-15-1931,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,,Athens,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-11 12:30:55",,3,urn:uuid:07d52e59-e41c-45ce-bd78-12b06d5d9c6a,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798592
3798593,CAS,ENT,,PreservedSpecimen,278fd481-e4f7-420f-8d5f-59531e7735a7,8427560,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia convergens",138292,"Guérin-Méneville, 1842",Hippodamia,convergens,,,"W. C. Stehr",1931-05-15,,,,,,"W. C. Stehr",,,,1931-05-15,1931,5,15,135,,5-15-1931,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,,Athens,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-11 12:32:46",,3,urn:uuid:278fd481-e4f7-420f-8d5f-59531e7735a7,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798593
3798595,CAS,ENT,,PreservedSpecimen,c7358b4c-713e-408b-82e4-c8481c5b7b6e,8427562,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia convergens",138292,"Guérin-Méneville, 1842",Hippodamia,convergens,,,"W. C. Stehr","Hippodamia convergens",,,,,,"W. C. Stehr",,"Hippodamia convergens",,1931-05-16,1931,5,16,136,,5-16-1931,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,,Athens,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-11 12:37:48",,3,urn:uuid:c7358b4c-713e-408b-82e4-c8481c5b7b6e,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798595
3798596,CAS,ENT,,PreservedSpecimen,d931d540-9a22-411d-8c34-a86f38a6addc,8427563,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Hippodamia convergens",138292,"Guérin-Méneville, 1842",Hippodamia,convergens,,,,,,,,,,,,,,1941-05-04,1941,5,4,124,,5-4-1941,,,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Hamilton,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-11 12:40:01",,3,urn:uuid:d931d540-9a22-411d-8c34-a86f38a6addc,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798596
3798826,CAS,ENT,,PreservedSpecimen,485dce86-9624-4b8f-a191-0ada5c39ba26,8427564,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Coleomegilla maculata fuscilabris",155412,"(Mulsant, 1866)",Coleomegilla,maculata,,fuscilabris,"W. C. Stehr",5/15/31,,,,,,"W. C. Stehr",,,,1931-05-15,1931,5,15,135,,5-15-1931,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-25 11:54:27",,3,urn:uuid:485dce86-9624-4b8f-a191-0ada5c39ba26,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798826
3798827,CAS,ENT,,PreservedSpecimen,6141aa42-9bf6-4953-8df1-28ffc465e1bb,8427565,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Coleomegilla maculata fuscilabris",155412,"(Mulsant, 1866)",Coleomegilla,maculata,,fuscilabris,"W. C. Stehr",6-24-32,,,,,,"W. C. Stehr",,,,1932-06-24,1932,6,24,176,,6-24-32,"Armitage Collection",,,,,,,,,,,,Adult,,2,,,Pinned,USA,Ohio,Athens,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-25 11:51:49",,3,urn:uuid:6141aa42-9bf6-4953-8df1-28ffc465e1bb,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798827
3798828,CAS,ENT,,PreservedSpecimen,44f72254-c11d-494f-a604-8ac73c1e6f9f,8427566,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Coleomegilla maculata fuscilabris",155412,"(Mulsant, 1866)",Coleomegilla,maculata,,fuscilabris,"W. C. Stehr",6-24-32,,,,,,"W. C. Stehr",,,,1932-06-24,1932,6,24,176,,6-24-32,"Armitage Collection",,,,,,,,,,,,Adult,,2,,,Pinned,USA,Ohio,Athens,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-25 11:52:02",,3,urn:uuid:44f72254-c11d-494f-a604-8ac73c1e6f9f,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798828
3798829,CAS,ENT,,PreservedSpecimen,73f906c2-6e4d-47a8-af87-331659eab5cd,8427567,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Coleomegilla maculata fuscilabris",155412,"(Mulsant, 1866)",Coleomegilla,maculata,,fuscilabris,"W. C. Stehr",6-24-32,,,,,,"W. C. Stehr",,,,1932-06-24,1932,6,24,176,,6-24-32,"Armitage Collection",,,,,,,,,,,,Adult,,2,,,Pinned,USA,Ohio,Athens,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-25 11:52:13",,3,urn:uuid:73f906c2-6e4d-47a8-af87-331659eab5cd,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798829
3798831,CAS,ENT,,PreservedSpecimen,48a1c36f-a837-4ab9-9273-d3ac6aef92f4,8427569,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Coleomegilla maculata fuscilabris",155412,"(Mulsant, 1866)",Coleomegilla,maculata,,fuscilabris,"W. C. Stehr",4-7-1931,,,,,,"W. C. Stehr",,,,1931-04-07,1931,4,7,97,,4-7-1931,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-25 11:52:40",,3,urn:uuid:48a1c36f-a837-4ab9-9273-d3ac6aef92f4,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798831
3798832,CAS,ENT,,PreservedSpecimen,4c5f09c1-14cc-41c8-ace5-75dfe4ad71eb,8427570,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Coleomegilla maculata fuscilabris",155412,"(Mulsant, 1866)",Coleomegilla,maculata,,fuscilabris,"W. C. Stehr",5-16-1931,,,,,,"W. C. Stehr",,,,1931-05-16,1931,5,16,136,,5-16-1931,"Armitage Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Athens,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-25 11:52:51",,3,urn:uuid:4c5f09c1-14cc-41c8-ace5-75dfe4ad71eb,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798832
3798833,CAS,ENT,,PreservedSpecimen,614bd0d0-6dca-402f-b682-a82684df0c99,8427571,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Coleomegilla maculata fuscilabris",155412,"(Mulsant, 1866)",Coleomegilla,maculata,,fuscilabris,"T. Casey",,,,,,,"T. Casey",,,,0000-00-00,1931,5,16,136,,,"Blaisdell Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-25 11:53:06",,3,urn:uuid:614bd0d0-6dca-402f-b682-a82684df0c99,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798833
3798835,CAS,ENT,,PreservedSpecimen,3e7dc027-f9cd-473a-bd9b-ff5ed1f32c21,8427573,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Coleomegilla maculata fuscilabris",155412,"(Mulsant, 1866)",Coleomegilla,maculata,,fuscilabris,"T. Casey",,,,,,,"T. Casey",,,,0000-00-00,1931,5,16,136,,,"Blaisdell Collection",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-25 11:53:29",,3,urn:uuid:3e7dc027-f9cd-473a-bd9b-ff5ed1f32c21,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798835
3798836,CAS,ENT,,PreservedSpecimen,0348cd31-4208-4b83-98fc-75f2e891f487,8427574,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Coleomegilla maculata fuscilabris",155412,"(Mulsant, 1866)",Coleomegilla,maculata,,fuscilabris,Koebele,,,,,,,Koebele,,,,0000-00-00,,,,,,,"Nunenmacher Collection, Koebele V1. 03",,,,,,,,,,,,Adult,Female,1,,,Pinned,USA,Ohio,Franklin,Columbus,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-25 11:46:15",,3,urn:uuid:0348cd31-4208-4b83-98fc-75f2e891f487,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798836
3798837,CAS,ENT,,PreservedSpecimen,e7bf90f7-8fc2-4c88-993a-66834a34df46,8427575,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Coleomegilla maculata fuscilabris",155412,"(Mulsant, 1866)",Coleomegilla,maculata,,fuscilabris,Koebele,,,,,,,Koebele,,,,0000-00-00,,,,,,,"Nunenmacher Collection, Koebele V1. 03",,,,,,,,,,,,Adult,Female,1,,,Pinned,USA,Ohio,Franklin,Columbus,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-25 11:46:37",,3,urn:uuid:e7bf90f7-8fc2-4c88-993a-66834a34df46,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798837
3798838,CAS,ENT,,PreservedSpecimen,1017647e-67cf-4e4a-be7b-2bbdd1854a80,8427576,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Coleomegilla maculata fuscilabris",155412,"(Mulsant, 1866)",Coleomegilla,maculata,,fuscilabris,Koebele,,,,,,,Koebele,,,,0000-00-00,,,,,,,"Nunenmacher Collection, Koebele V1. 03",,,,,,,,,,,,Adult,Male,1,,,Pinned,USA,Ohio,Franklin,Columbus,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-25 11:47:03",,3,urn:uuid:1017647e-67cf-4e4a-be7b-2bbdd1854a80,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798838
3798839,CAS,ENT,,PreservedSpecimen,17732a4e-1bbe-4060-a468-9be40f9e6041,8427577,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Coleomegilla maculata fuscilabris",155412,"(Mulsant, 1866)",Coleomegilla,maculata,,fuscilabris,Koebele,,,,,,,Koebele,,,,0000-00-00,,,,,,,"Nunenmacher Collection, Koebele V1. 03",,,,,,,,,,,,Adult,,1,,,Pinned,USA,Ohio,Franklin,Columbus,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-25 11:47:27",,3,urn:uuid:17732a4e-1bbe-4060-a468-9be40f9e6041,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798839
3798840,CAS,ENT,,PreservedSpecimen,c892c098-9cd8-455c-8d70-c390be87cad9,8427578,,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,"Coleomegilla maculata fuscilabris",155412,"(Mulsant, 1866)",Coleomegilla,maculata,,fuscilabris,Koebele,,,,,,,Koebele,,,,0000-00-00,,,,,,,"Nunenmacher Collection, Koebele V1. 03",,,,,,,,,,,,Adult,Male,1,,,Pinned,USA,Ohio,Franklin,Columbus,,,,,,,,,,,,,,,,,,,,,,,sgin,"2019-02-25 11:48:38",,3,urn:uuid:c892c098-9cd8-455c-8d70-c390be87cad9,https://monarch.calacademy.org:443/collections/individual/index.php?occid=3798840
