ecatalogue_key,IdeFiledAsFamily,IdeFiledAsSubfamily,DarScientificName,LotRegion_tab,LotNoOfSpecimens_tab,LotPrimaryType,LotSyntypes,LotParatypes
1,Coccinellidae,Coccinellinae,"Ceratomegilla alpina (A. Villa & G. B. Villa, 1835)",Palearctic,19,,,
2,Coccinellidae,Coccinellinae,"Hippodamia alpina (A. Villa, 1835)",Palearctic,4,,,
3,Coccinellidae,Epilachninae,"Henosepilachna occellata (Bertoloni, 1849)",Neotropical,1,,,
4,Coccinellidae,Coccinellinae,"Oenopia guttata (Blackburn, 1892)",Australian,2,,,
5,Coccinellidae,Coccidulinae,"Rhyzobius lophanthae (Blaisdell, 1892)","Palearctic
Nearctic
Australian","5
14
1",,,
6,Coccinellidae,Chilocorinae,"Exochomus aethiops (Bland, 1864)",Nearctic,33,,,
7,Coccinellidae,Scymninae,"Nephaspis oculatus (Blatchley, 1917)",Nearctic,3,,,
8,Coccinellidae,Chilocorinae,"Halmus chalybeus (Boisduval, 1835)",Pacific,8,,,
9,Coccinellidae,Chilocorinae,"Halmus chalybeus (Boisduval, 1835)",Nearctic,5,,,
10,Coccinellidae,Coccinellinae,"Harmonia conformis (Boisduval, 1835)","Nearctic
Australian","1
19",,,
11,Coccinellidae,Epilachninae,"Henosepilachna haemorrhoa (Boisduval, 1835)",Pacific,51,,,
12,Coccinellidae,Epilachninae,"Henosepilachna signatipennis (Boisduval, 1835)","Pacific
unknown","50
1",,,
13,Coccinellidae,Scymninae,"Scymnus apetzoides (Capra & Fürsch, 1967)",Palearctic,34,,,
14,Coccinellidae,Scymninae,"Zilus subtropicus (Casey, 1894)",Nearctic,1,,,
15,Coccinellidae,Coccinellinae,"Mulsantina hudsonica (Casey, 1899)",Nearctic,18,,,
16,Coccinellidae,Coccinellinae,"Myzia interrupta (Casey, 1899)","Nearctic
Neotropical","10
1",,,
17,Coccinellidae,Scymninae,"Scymnus (Pullus) gilae (Casey, 1899)",Nearctic,7,,,
