id,institutionCode,collectionCode,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,individualCount,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
30106988,PSUC,ENTO,Coleoptera,Coccinellidae,"Chilocorus bivulnerus Mulsant, 1850",,,,,,,Hodge,,,,,,,,,,,1,United States,Ohio,,,,,0,,40.2862,-82.7937,WGS84,,,Andrew R. Deans,https://scholarsphere.psu.edu/files/cj82k747v,,,centroid for the state: https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_geographic_centers_of_the_United_States&params=40.2862_N_82.7937_W_type:landmark_region:US-OH&title=Center+of+Ohio,,,,,,,,,,9/19/2017 10:33,PSUC_FEM_29965,126,urn:uuid:55b8b62a-7b3e-445d-b640-4eea7c1d2d66,http://scan-bugs.org/portal/collections/individual/index.php?occid=30106988
30106989,PSUC,ENTO,Coleoptera,Coccinellidae,"Chilocorus bivulnerus Mulsant, 1850",,,,,,,,,,,,,,,,,,1,United States,Ohio,,,,,0,,40.2862,-82.7937,WGS84,,,Andrew R. Deans,https://scholarsphere.psu.edu/files/cj82k747v,,,centroid for the state: https://tools.wmflabs.org/geohack/geohack.php?pagename=List_of_geographic_centers_of_the_United_States&params=40.2862_N_82.7937_W_type:landmark_region:US-OH&title=Center+of+Ohio,,,,,,,,,,9/19/2017 10:33,PSUC_FEM_29966,126,urn:uuid:f4a78725-0b7d-4f27-9e85-9081415ed82c,http://scan-bugs.org/portal/collections/individual/index.php?occid=30106989
30107698,PSUC,ENTO,Coleoptera,Coccinellidae,"Coccinella novemnotata Herbst, 1793",,,,,,,Jim Steinke,,,,8/10/1963,1963,8,10,222,,8/10/1963,1,United States,Ohio,Van Wert,Van Wert,Van Wert,Van Wert Co.,0,,40.869493,-84.584122,WGS84,4130,,Andrew R. Deans,https://scholarsphere.psu.edu/files/cj82k747v,,,,,,,,,,,,,9/19/2017 10:33,PSUC_FEM_30034,126,urn:uuid:bd604fd7-0dd1-4fa7-9f92-2cea55cb48d2,http://scan-bugs.org/portal/collections/individual/index.php?occid=30107698
30107699,PSUC,ENTO,Coleoptera,Coccinellidae,"Adalia bipunctata (Linnaeus, 1758)",,,,,,,Jim Steinke,,,,6/6/1963,1963,6,6,157,,6/6/1963,1,United States,Ohio,Van Wert,Van Wert,Van Wert,,0,,40.869493,-84.584122,WGS84,4130,,Andrew R. Deans,https://scholarsphere.psu.edu/files/cj82k747v,,,,,,,,,,,,,9/19/2017 10:33,PSUC_FEM_28391,126,urn:uuid:150f855e-8dea-4098-b638-159166f95770,http://scan-bugs.org/portal/collections/individual/index.php?occid=30107699
30107700,PSUC,ENTO,Coleoptera,Coccinellidae,"Coccinella novemnotata Herbst, 1793",,,,,,,Jim Steinke,,,,9/6/1963,1963,9,6,249,,9/6/1963,1,United States,Ohio,Van Wert,Van Wert,Van Wert,Van Wert Co.,0,,40.869493,-84.584122,WGS84,4130,,Andrew R. Deans,https://scholarsphere.psu.edu/files/cj82k747v,,,,,,,,,,,,,9/19/2017 10:33,PSUC_FEM_30041,126,urn:uuid:380d6a71-d087-464a-b578-6c4f85cc08d6,http://scan-bugs.org/portal/collections/individual/index.php?occid=30107700
30107701,PSUC,ENTO,Coleoptera,Coccinellidae,"Coleomegilla maculata fuscilabris (Mulsant, 1866)",,,,,,,Jim Steinke,,,,6/6/1963,1963,6,6,157,,6/6/1963,1,United States,Ohio,Van Wert,Van Wert,Van Wert,Van Wert Co.,0,,40.869493,-84.584122,WGS84,4130,,Andrew R. Deans,https://scholarsphere.psu.edu/files/cj82k747v,,,,,,,,,,,,,9/19/2017 10:33,PSUC_FEM_103383,126,urn:uuid:06efaded-423b-4e46-8098-161d50b7d161,http://scan-bugs.org/portal/collections/individual/index.php?occid=30107701
30107702,PSUC,ENTO,Coleoptera,Coccinellidae,"Hippodamia convergens Guerin-Meneville, 1842",,,,,,,Jim Steinke,,,,9/10/1963,1963,9,10,253,,9/10/1963,1,United States,Ohio,Van Wert,Van Wert,Van Wert,Van Wert Co.,0,,40.869493,-84.584122,WGS84,4130,,Andrew R. Deans,https://scholarsphere.psu.edu/files/cj82k747v,,,,,,,,,,,,,9/19/2017 10:33,PSUC_FEM_24394,126,urn:uuid:95046af5-38d3-458b-88d4-8f745cbf8226,http://scan-bugs.org/portal/collections/individual/index.php?occid=30107702
30107844,PSUC,ENTO,Coleoptera,Coccinellidae,"Coleomegilla maculata fuscilabris (Mulsant, 1866)",,,,,,,N. D. Blackburn Collection,,,,6/20/1931,1931,6,20,171,,1931-06-20/1931-06-30,1,United States,Ohio,Ottawa,Put-in-Bay,Kelley's Island,,0,,41.605879,-82.697983,WGS84,3175,,Andrew R. Deans,https://scholarsphere.psu.edu/files/cj82k747v,,,best guess at a point and coordinate uncertainty that includes all of Kelley's Island,,,,,,,,,,9/19/2017 10:33,PSUC_FEM_29873,126,urn:uuid:61d0ecaa-c38b-4e20-9482-7f93e972bb7b,http://scan-bugs.org/portal/collections/individual/index.php?occid=30107844
30107845,PSUC,ENTO,Coleoptera,Coccinellidae,"Coleomegilla maculata fuscilabris (Mulsant, 1866)",,,,,,,N. D. Blackburn Collection,,,,7/11/1931,1931,7,11,192,,1931-07-11/1931-07-20,1,United States,Ohio,Ottawa,Put-in-Bay,Kelley's Island,,0,,41.605879,-82.697983,WGS84,3175,,Andrew R. Deans,https://scholarsphere.psu.edu/files/cj82k747v,,,best guess at a point and coordinate uncertainty that includes all of Kelley's Island,,,,,,,,,,9/19/2017 10:33,PSUC_FEM_29874,126,urn:uuid:6ca2ebdf-80b9-4a1b-9976-a2c435288a4d,http://scan-bugs.org/portal/collections/individual/index.php?occid=30107845
30107846,PSUC,ENTO,Coleoptera,Coccinellidae,"Coccinella transversoguttata Faldermann, 1835",,,,,,,N. D. Blackburn,,,,7/1/1931,1931,7,1,182,,1931-07-01/1931-07-10,1,United States,Ohio,Ottawa,Put-in-Bay,Kelley's Island,,0,,41.605879,-82.697983,WGS84,3175,,Andrew R. Deans,https://scholarsphere.psu.edu/files/cj82k747v,,,best guess at a point and coordinate uncertainty that includes all of Kelley's Island,,,,,,,,,,9/19/2017 10:33,PSUC_FEM_30081,126,urn:uuid:36ae4369-377a-4af0-be9e-e17bc6b7c5f3,http://scan-bugs.org/portal/collections/individual/index.php?occid=30107846
